,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,1.98,32.9323900427,1.57079632679,0.94342342692,2.18446004303,1.57079632679,0.472911346117,0.994926606576,3.14159265359,1.0,616.321465942,0.802702823204
1,0.00773358953589,1.98000538274,32.9323086532,1.57149937518,0.943425991671,2.18449321514,1.58139532419,0.47291267155,0.994927010087,3.14164669839,1.0,616.321470208,0.802663203281
2,0.0154670949907,1.9800215306,32.9320644918,1.57220238464,0.943433685743,2.184592725,1.59199379746,0.472916647759,0.994928220489,3.14170072684,1.0,616.321483007,0.802544356061
3,0.0232004322587,1.98004844242,32.9316575802,1.57290531627,0.943446508592,2.18475855327,1.60259122268,0.472923274465,0.994930237383,3.14175472257,1.0,616.321504336,0.802346319179
4,0.030933517282,1.9800861163,32.9310879544,1.57360813115,0.943464459312,2.18499066773,1.61318707641,0.472932551207,0.994933060109,3.14180866925,1.0,616.321534194,0.802069155296
5,0.038666266026,1.98013454959,32.9303556647,1.5743107904,0.943487536635,2.1852890233,1.62378083591,0.472944477339,0.994936687739,3.14186255053,1.0,616.321572578,0.801712951996
6,0.0463985944962,1.98019373886,32.9294607759,1.57501325513,0.943515738929,2.18565356204,1.63437197933,0.47295905203,0.994941119084,3.14191635013,1.0,616.321619484,0.801277821657
7,0.0541304187485,1.98026367993,32.9284033671,1.57571548649,0.943549064202,2.18608421322,1.64495998603,0.472976274266,0.99494635269,3.14197005175,1.0,616.321674906,0.800763901272
8,0.0618616548989,1.98034436785,32.9271835318,1.57641744566,0.9435875101,2.18658089336,1.65554433669,0.472996142847,0.994952386839,3.14202363915,1.0,616.32173884,0.800171352237
9,0.0695922191337,1.98043579694,32.9258013778,1.57711909383,0.943631073909,2.18714350625,1.66612451363,0.473018656389,0.994959219553,3.14207709611,1.0,616.321811278,0.799500360105
10,0.0773220277194,1.98053796073,32.9242570273,1.57782039223,0.943679752552,2.18777194303,1.67670000101,0.473043813327,0.994966848591,3.14213040645,1.0,616.321892213,0.798751134298
11,0.0850509970128,1.98065085201,32.9225506164,1.57852130215,0.943733542593,2.18846608225,1.68727028502,0.473071611909,0.99497527145,3.14218355406,1.0,616.321981637,0.797923907794
12,0.0927790434708,1.98077446282,32.920682296,1.5792217849,0.943792440236,2.18922578992,1.69783485414,0.473102050203,0.994984485371,3.14223652286,1.0,616.32207954,0.797018936765
13,0.10050608366,1.98090878444,32.9186522309,1.57992180185,0.943856441328,2.19005091963,1.70839319932,0.47313512609,0.994994487332,3.14228929683,1.0,616.322185913,0.796036500199
14,0.108232034267,1.98105380739,32.9164606,1.58062131441,0.943925541354,2.19094131259,1.71894481423,0.473170837273,0.995005274057,3.14234186001,1.0,616.322300744,0.79497689948
15,0.115956812109,1.98120952146,32.9141075965,1.58132028405,0.943999735445,2.19189679774,1.72948919547,0.47320918127,0.99501684201,3.14239419652,1.0,616.322424022,0.79384045794
16,0.123680334142,1.98137591567,32.9115934277,1.58201867231,0.944079018371,2.19291719186,1.74002584273,0.473250155418,0.995029187405,3.14244629054,1.0,616.322555733,0.79262752039
17,0.131402517481,1.98155297831,32.9089183149,1.58271644078,0.944163384551,2.19400229967,1.75055425908,0.473293756872,0.995042306198,3.14249812632,1.0,616.322695865,0.79133845261
18,0.13912327937,1.9817406969,32.9060824934,1.58341355113,0.944252828044,2.19515191391,1.76107395104,0.473339982606,0.995056194096,3.14254968821,1.0,616.322844404,0.789973640832
19,0.146842537253,1.98193905824,32.9030862126,1.5841099651,0.944347342559,2.1963658155,1.77158442894,0.473388829415,0.995070846553,3.14260096063,1.0,616.323001332,0.788533491183
20,0.154560208739,1.98214804839,32.8999297356,1.58480564449,0.944446921448,2.19764377363,1.78208520699,0.473440293911,0.995086258777,3.14265192811,1.0,616.323166636,0.787018429113
21,0.162276211629,1.98236765265,32.8966133395,1.58550055122,0.944551557714,2.19898554595,1.79257580353,0.47349437253,0.995102425729,3.14270257526,1.0,616.323340298,0.785428898811
22,0.169990463919,1.98259785561,32.893137315,1.58619464725,0.944661244007,2.2003908786,1.80305574116,0.473551061527,0.995119342124,3.14275288678,1.0,616.323522299,0.783765362586
23,0.177702883813,1.9828386411,32.8895019669,1.58688789466,0.944775972628,2.20185950646,1.81352454699,0.47361035698,0.995137002435,3.14280284751,1.0,616.323712622,0.782028300249
24,0.18541338973,1.98308999223,32.8857076132,1.58758025561,0.944895735529,2.20339115324,1.82398175276,0.473672254787,0.995155400894,3.14285244237,1.0,616.323911247,0.780218208468
25,0.193121900315,1.98335189138,32.8817545859,1.58827169235,0.945020524315,2.20498553164,1.83442689504,0.473736750671,0.995174531494,3.14290165641,1.0,616.324118153,0.778335600117
26,0.20082833445,1.98362432021,32.8776432303,1.58896216726,0.945150330244,2.20664234351,1.84485951537,0.473803840177,0.995194387994,3.1429504748,1.0,616.32433332,0.776381003611
