,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,1.98,32.9323900427,1.57079632679,0.941441444944,2.64783035519,1.57079632679,0.472477953464,0.992561638149,3.14159265359,1.0,616.320069638,1.05514619386
1,0.00773358953589,1.98000538274,32.9323086532,1.57149937518,0.941444004307,2.64784205489,1.5795405415,0.472479258305,0.992562123063,3.14165818104,1.0,616.320073846,1.05509132651
2,0.0154670949907,1.9800215306,32.9320644918,1.57220238464,0.941451682216,2.64787715249,1.58828457494,0.472483172736,0.992563577665,3.14172369145,1.0,616.320086469,1.05492676021
3,0.0232004322587,1.98004844242,32.9316575802,1.57290531627,0.941464478126,2.64793564341,1.59702824584,0.472489696481,0.992566001541,3.14178916777,1.0,616.320107506,1.05465260204
4,0.030933517282,1.9800861163,32.9310879544,1.57360813115,0.941482391134,2.64801752007,1.60577137302,0.472498829085,0.992569393999,3.14185459296,1.0,616.320136954,1.05426903011
5,0.038666266026,1.98013454959,32.9303556647,1.5743107904,0.941505419975,2.64812277185,1.61451377541,0.472510569905,0.992573754071,3.14191995002,1.0,616.320174811,1.05377629298
6,0.0463985944962,1.98019373886,32.9294607759,1.57501325513,0.941533563021,2.6482513851,1.62325527207,0.472524918118,0.992579080514,3.14198522194,1.0,616.320221073,1.05317470886
7,0.0541304187485,1.98026367993,32.9284033671,1.57571548649,0.941566818283,2.64840334313,1.63199568224,0.472541872719,0.992585371808,3.14205039176,1.0,616.320275734,1.05246466462
8,0.0618616548989,1.98034436785,32.9271835318,1.57641744566,0.941605183413,2.64857862624,1.64073482538,0.472561432517,0.992592626159,3.14211544255,1.0,616.32033879,1.05164661459
9,0.0695922191337,1.98043579694,32.9258013778,1.57711909383,0.9416486557,2.64877721173,1.64947252116,0.472583596143,0.992600841499,3.1421803574,1.0,616.320410234,1.05072107914
10,0.0773220277194,1.98053796073,32.9242570273,1.57782039223,0.941697232077,2.64899907387,1.65820858958,0.472608362042,0.992610015486,3.14224511946,1.0,616.320490058,1.04968864306
11,0.0850509970128,1.98065085201,32.9225506164,1.57852130215,0.941750909114,2.64924418395,1.66694285091,0.472635728479,0.992620145507,3.14230971191,1.0,616.320578254,1.04854995382
12,0.0927790434708,1.98077446282,32.920682296,1.5792217849,0.941809683023,2.64951251028,1.67567512578,0.472665693538,0.992631228675,3.14237411801,1.0,616.320674814,1.04730571964
