,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,1.71,34.6223145205,1.57079632679,0.814774778271,2.43574072004,1.57079632679,0.40850005686,0.994552423161,3.14159265359,1.0,616.081398224,0.765477333259
1,0.00696719929676,1.71000197634,34.6222764111,1.57112809588,0.814775719951,2.43572779002,1.57551222456,0.40850051843,0.994552596183,3.14161848389,1.0,616.081400216,0.765462654447
2,0.0139343663948,1.71000790526,34.6221620851,1.57145984955,0.814778544942,2.43568900044,1.58022812669,0.408501903116,0.994553115223,3.14164431042,1.0,616.081406192,0.765418620036
3,0.0209014690718,1.71001778644,34.6219715495,1.5717915724,0.814783253094,2.43562435265,1.58494403756,0.408504210844,0.9945539802,3.14167012942,1.0,616.081416151,0.765345236094
4,0.0278684751312,1.71003161937,34.6217048157,1.57212324902,0.814789844155,2.43553384893,1.58965996153,0.408507441491,0.994555190979,3.14169593712,1.0,616.081430093,0.76524251273
5,0.034835352378,1.71004940329,34.6213618999,1.57245486402,0.814798317776,2.43541749247,1.59437590298,0.408511594883,0.99455674737,3.14172172976,1.0,616.081448017,0.765110464092
6,0.041802068627,1.71007113727,34.6209428228,1.57278640197,0.814808673507,2.43527528735,1.59909186631,0.408516670798,0.994558649132,3.14174750358,1.0,616.081469921,0.764949108353
7,0.0487685917049,1.71009682015,34.6204476097,1.57311784751,0.814820910796,2.43510723857,1.60380785592,0.408522668966,0.994560895966,3.14177325483,1.0,616.081495804,0.764758467709
8,0.0557348894526,1.71012645057,34.6198762906,1.57344918522,0.814835028994,2.43491335206,1.60852387622,0.408529589066,0.994563487522,3.14179897975,1.0,616.081525665,0.764538568358
9,0.0627009297277,1.71016002695,34.6192288999,1.57378039974,0.81485102735,2.43469363461,1.61323993165,0.408537430727,0.994566423397,3.1418246746,1.0,616.081559501,0.764289440491
10,0.0696666804067,1.71019754751,34.6185054767,1.57411147569,0.814868905013,2.43444809397,1.61795602667,0.408546193531,0.994569703131,3.14185033563,1.0,616.08159731,0.764011118275
11,0.0766321093876,1.71023901026,34.6177060647,1.57444239771,0.814888661035,2.43417673875,1.62267216574,0.408555877009,0.994573326213,3.14187595913,1.0,616.08163909,0.763703639834
12,0.0835971845923,1.71028441298,34.6168307122,1.57477315045,0.814910294366,2.4338795785,1.62738835338,0.408566480643,0.99457729208,3.14190154135,1.0,616.081684838,0.763367047226
13,0.0905618739686,1.71033375328,34.6158794719,1.57510371855,0.814933803856,2.43355662366,1.6321045941,0.408578003868,0.994581600111,3.1419270786,1.0,616.08173455,0.763001386423
14,0.0975261454929,1.71038702852,34.6148524014,1.57543408671,0.814959188257,2.43320788556,1.63682089246,0.408590446068,0.994586249636,3.14195256715,1.0,616.081788224,0.762606707285
15,0.104489967172,1.71044423589,34.6137495625,1.5757642396,0.81498644622,2.43283337646,1.64153725307,0.408603806578,0.994591239932,3.14197800332,1.0,616.081845856,0.762183063531
16,0.111453307048,1.71050537233,34.6125710218,1.57609416192,0.8150155763,2.43243310949,1.64625368053,0.408618084685,0.994596570219,3.14200338342,1.0,616.081907441,0.761730512714
17,0.118416133194,1.71057043462,34.6113168503,1.57642383839,0.815046576949,2.43200709872,1.65097017951,0.408633279626,0.99460223967,3.14202870376,1.0,616.081972976,0.761249116188
18,0.125378413726,1.71063941929,34.6099871236,1.57675325374,0.815079446523,2.43155535907,1.65568675471,0.408649390591,0.994608247401,3.1420539607,1.0,616.082042457,0.760738939072
19,0.132340116797,1.71071232269,34.6085819218,1.57708239273,0.815114183277,2.4310779064,1.66040341088,0.408666416719,0.994614592478,3.14207915058,1.0,616.082115879,0.760200050222
20,0.139301210605,1.71078914095,34.6071013295,1.57741124012,0.815150785369,2.43057475744,1.66512015279,0.408684357103,0.994621273916,3.14210426977,1.0,616.082193236,0.759632522188
21,0.146261663389,1.71086986999,34.605545436,1.57773978071,0.815189250857,2.43004592982,1.66983698529,0.408703210785,0.994628290675,3.14212931465,1.0,616.082274525,0.759036431181
22,0.153221443444,1.71095450553,34.6039143349,1.5780679993,0.815229577704,2.42949144206,1.67455391326,0.40872297676,0.994635641666,3.1421542816,1.0,616.082359738,0.758411857027
23,0.160180519098,1.7110430431,34.6022081242,1.57839588073,0.81527176377,2.42891131357,1.67927094163,0.408743653975,0.994643325747,3.14217916704,1.0,616.082448871,0.757758883132
24,0.167138858746,1.71113547799,34.6004269066,1.57872340985,0.815315806821,2.42830556466,1.68398807538,0.408765241327,0.994651341728,3.14220396741,1.0,616.082541918,0.757077596432
25,0.174096430831,1.71123180531,34.5985707892,1.57905057155,0.815361704524,2.42767421651,1.68870531957,0.408787737666,0.994659688364,3.14222867913,1.0,616.082638873,0.756368087355
26,0.181053203853,1.71133201996,34.5966398835,1.57937735073,0.815409454449,2.42701729119,1.6934226793,0.408811141795,0.994668364363,3.14225329868,1.0,616.082739728,0.755630449766
27,0.188009146372,1.71143611664,34.5946343054,1.57970373232,0.815459054067,2.42633481165,1.69814015974,0.408835452467,0.994677368382,3.14227782253,1.0,616.082844478,0.754864780928
28,0.194964227007,1.71154408983,34.5925541753,1.58002970128,0.815510500754,2.42562680173,1.70285776611,0.408860668388,0.994686699026,3.1423022472,1.0,616.082953115,0.754071181446
29,0.20191841444,1.71165593383,34.5903996182,1.5803552426,0.815563791789,2.42489328613,1.70757550372,0.408886788217,0.994696354853,3.14232656919,1.0,616.083065632,0.75324975522
30,0.20887167742,1.71177164272,34.588170763,1.5806803413,0.815618924353,2.42413429044,1.71229337793,0.408913810564,0.99470633437,3.14235078505,1.0,616.083182022,0.75240060939
