,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,1.71,34.6223145205,1.57079632679,0.809639643156,5.46301847208,1.57079632679,0.410407691311,0.972769176351,3.14159265359,0.0,0.0,0.0
1,0.00696719929676,1.71000197634,34.6222764111,1.57112809588,0.809640578901,5.4629905332,1.57289894972,0.410408114246,0.972769545477,3.14165151179,0.0,0.0,0.0
2,0.0139343663948,1.71000790526,34.6221620851,1.57145984955,0.809643386088,5.46290671758,1.57500153467,0.410409383026,0.972770652818,3.14171036455,0.0,0.0,0.0
3,0.0209014690718,1.71001778644,34.6219715495,1.5717915724,0.809648064566,5.46276702825,1.57710404368,0.410411497584,0.97277249826,3.14176920643,0.0,0.0,0.0
4,0.0278684751312,1.71003161937,34.6217048157,1.57212324902,0.809654614087,5.4625714703,1.57920643878,0.410414457802,0.972775081615,3.14182803199,0.0,0.0,0.0
5,0.034835352378,1.71004940329,34.6213618999,1.57245486402,0.809663034303,5.46232005084,1.581308682,0.410418263519,0.97277840262,3.14188683579,0.0,0.0,0.0
6,0.041802068627,1.71007113727,34.6209428228,1.57278640197,0.809673324766,5.462012779,1.58341073536,0.410422914528,0.972782460936,3.1419456124,0.0,0.0,0.0
7,0.0487685917049,1.71009682015,34.6204476097,1.57311784751,0.80968548493,5.46164966595,1.58551256089,0.410428410574,0.972787256148,3.1420043564,0.0,0.0,0.0
8,0.0557348894526,1.71012645057,34.6198762906,1.57344918522,0.809699514147,5.46123072488,1.58761412062,0.410434751356,0.972792787767,3.14206306236,0.0,0.0,0.0
9,0.0627009297277,1.71016002695,34.6192288999,1.57378039974,0.809715411673,5.46075597101,1.58971537658,0.410441936529,0.972799055229,3.14212172486,0.0,0.0,0.0
10,0.0696666804067,1.71019754751,34.6185054767,1.57411147569,0.809733176663,5.46022542158,1.59181629079,0.410449965699,0.972806057896,3.14218033851,0.0,0.0,0.0
