,vfr,0.00,0.05,0.10,0.30,0.60
66,0.866,0.0,2.78756733855e-08,2.40318721374e-08,2.75065342696e-08,7.71788825604e-08
67,0.867,0.0,2.91642184323e-08,2.59037957667e-08,2.94423996234e-08,8.71131676836e-08
68,0.868,0.0,3.0492397356e-08,2.70858715151e-08,3.13464902902e-08,8.62288276314e-08
69,0.869,0.0,3.14108179816e-08,2.82997690322e-08,3.1041483211e-08,9.84911043642e-08
70,0.87,0.0,3.27998374717e-08,2.95391690557e-08,3.29646873657e-08,1.10991582638e-07
71,0.871,0.0,3.42235360768e-08,3.08034179457e-08,3.50274705807e-08,1.09877156464e-07
72,0.872,0.0,3.56835579462e-08,3.29353727888e-08,3.71792813792e-08,1.37929850576e-07
73,0.873,0.0,3.71769322914e-08,3.4275921736e-08,3.81660229205e-08,1.66437390026e-07
74,0.874,0.0,3.87078145204e-08,3.65263249352e-08,4.04308737507e-08,1.65125686655e-07
75,0.875,0.0,4.02704934456e-08,3.79318909958e-08,4.26972812141e-08,1.63680251924e-07
76,0.876,0.0,4.18692981774e-08,3.93594776185e-08,4.50516532335e-08,1.62510222597e-07
77,0.877,0.0,4.34979177576e-08,4.17739216344e-08,4.74519828742e-08,1.61040213759e-07
78,0.878,0.0,4.51549934184e-08,4.32747169912e-08,4.98507901487e-08,1.5957020492e-07
79,0.879,0.0,4.68376620064e-08,4.58113995872e-08,5.23095995571e-08,1.58149583859e-07
80,0.88,0.0,4.85534757911e-08,4.84155829394e-08,5.47374027477e-08,1.56678674364e-07
81,0.881,0.0,5.09028476331e-08,5.00278958138e-08,6.04652803115e-08,1.55476313724e-07
82,0.882,0.0,5.26775291208e-08,5.27720568867e-08,6.30001594711e-08,1.53958125666e-07
83,0.883,0.0,5.51146305035e-08,5.55822350792e-08,6.56198664647e-08,1.52484648995e-07
84,0.884,0.0,5.69389982466e-08,5.84804990235e-08,6.83368103898e-08,1.51011172325e-07
85,0.885,0.0,5.94414644026e-08,6.14703388847e-08,7.48618430317e-08,1.49645516196e-07
86,0.886,0.0,6.19708084332e-08,6.45878638986e-08,7.77638407429e-08,1.46808730502e-07
87,0.887,0.0,6.31742410781e-08,6.91164058549e-08,8.4474295426e-08,1.45392696113e-07
88,0.888,0.0,6.65667014781e-08,7.26417883784e-08,9.12626341833e-08,1.44398503352e-07
89,0.889,0.0,6.92940316707e-08,7.56324703575e-08,9.80517213183e-08,1.42809166714e-07
90,0.89,0.0,7.27945278308e-08,7.80952754257e-08,1.05040443408e-07,1.41639278887e-07
91,0.891,0.0,7.634911282e-08,8.25225952405e-08,1.12000415631e-07,1.40175351745e-07
92,0.892,0.0,8.07260106839e-08,8.70076817081e-08,1.27342374926e-07,1.38711424603e-07
93,0.893,0.0,8.5169015753e-08,9.29641014788e-08,1.59762951092e-07,1.37520761108e-07
94,0.894,0.0,9.04771943831e-08,9.90020623681e-08,1.58070258719e-07,1.36227954548e-07
95,0.895,0.0,9.58440579085e-08,1.06581240938e-07,1.56328405504e-07,1.34758937432e-07
96,0.896,0.0,1.03773218417e-07,1.15744843176e-07,1.54630824243e-07,1.33289920316e-07
97,0.897,0.0,1.14357243881e-07,1.32681277306e-07,1.52902556949e-07,1.318209032e-07
98,0.898,2.29322639137e-07,1.37185785987e-07,1.51210883764e-07,1.51155340985e-07,1.3059902099e-07
99,0.899,2.27052117957e-07,1.35505609219e-07,1.49416956884e-07,1.47973016822e-07,1.29240592202e-07
100,0.901,2.24781596778e-07,1.33825179712e-07,1.47623030004e-07,1.46536888828e-07,1.27725168156e-07
101,0.902,2.22511075598e-07,1.32146915015e-07,1.45829103123e-07,1.44988588569e-07,1.26251273908e-07
102,0.903,2.20240554419e-07,1.30469766227e-07,1.44035176243e-07,1.43437537404e-07,1.24777379661e-07
103,0.904,2.17970033239e-07,1.2879371762e-07,1.42241249363e-07,1.41791689119e-07,1.23460442427e-07
104,0.905,2.15699512059e-07,1.27118752362e-07,1.40447322483e-07,1.40233956655e-07,1.22201103214e-07
105,0.906,2.1342899088e-07,1.25444926356e-07,1.38653395603e-07,1.38579199948e-07,1.2072289361e-07
106,0.907,2.111584697e-07,1.23772301239e-07,1.36859468723e-07,1.36948707317e-07,1.19244684007e-07
107,0.908,2.08887948521e-07,1.2210085002e-07,1.35065541843e-07,1.35286657992e-07,1.17762309801e-07
108,0.909,2.06617427341e-07,1.20434860007e-07,1.33271614962e-07,1.33621335184e-07,1.16283339765e-07
109,0.91,2.04346906162e-07,1.18770871609e-07,1.31477688135e-07,1.31980771374e-07,1.13686069237e-07
110,0.911,2.02076384982e-07,1.17103648953e-07,1.29683763635e-07,1.30308192963e-07,1.1222725335e-07
111,0.912,1.99805863802e-07,1.15448867629e-07,1.27889856506e-07,1.28555424686e-07,1.11016845646e-07
112,0.913,1.97535342623e-07,1.13790846522e-07,1.26095994478e-07,1.26902298365e-07,1.09736094869e-07
113,0.914,1.95264821444e-07,1.12134788555e-07,1.24302217535e-07,1.25189740095e-07,1.08194081191e-07
114,0.915,1.92994300264e-07,1.10487861384e-07,1.22508582104e-07,1.23505356843e-07,1.06963252597e-07
115,0.916,1.90723779084e-07,1.08843842165e-07,1.20715171632e-07,1.21778005459e-07,1.05497124627e-07
116,0.917,1.88453257904e-07,1.07211104266e-07,1.18922058453e-07,1.20088840938e-07,1.04198831401e-07
117,0.918,1.86182736725e-07,1.05582357197e-07,1.17129335293e-07,1.18328121622e-07,1.02729463157e-07
118,0.919,1.83912215545e-07,1.03967265518e-07,1.15337121843e-07,1.16634490735e-07,1.01260094913e-07
119,0.92,1.81641694366e-07,1.0235725672e-07,1.13545574149e-07,1.14900450347e-07,1.00000477063e-07
120,0.921,1.79371173186e-07,1.00763320187e-07,1.11754785596e-07,1.13202072436e-07,9.85285826573e-08
121,0.922,1.77100652006e-07,9.91874234396e-08,1.09964879617e-07,1.11451348232e-07,9.70566882517e-08
122,0.923,1.74830130827e-07,9.76445558306e-08,1.08176002243e-07,1.09748749093e-07,9.55847938461e-08
123,0.924,1.72559609647e-07,9.61250767386e-08,1.06388338657e-07,1.08008459165e-07,9.42504337115e-08
124,0.925,1.70647591809e-07,9.46751424328e-08,1.04601950795e-07,1.06301167013e-07,9.27790100027e-08
125,0.926,1.68372290585e-07,9.33677274021e-08,1.02816961685e-07,1.04548498735e-07,9.13040137675e-08
126,0.927,1.66096989361e-07,9.19553325464e-08,1.01033507579e-07,1.02779840852e-07,9.0009309524e-08
127,0.928,1.63821688137e-07,9.02673570143e-08,9.92518263467e-08,1.0106745991e-07,8.85318597151e-08
128,0.929,1.61546386913e-07,8.85801852707e-08,9.72522311283e-08,9.93205292156e-08,8.70544099061e-08
129,0.93,1.59271085689e-07,8.68938610007e-08,9.58695139362e-08,9.7566510111e-08,8.55769600971e-08
130,0.931,1.56995784465e-07,8.52084280741e-08,9.43294544978e-08,9.58488239278e-08,8.40995102882e-08
131,0.932,1.5472048324e-07,8.35239304866e-08,9.27240007055e-08,9.40941010067e-08,8.26220604792e-08
132,0.933,1.52445182016e-07,8.1840402807e-08,9.1082498391e-08,9.23393780857e-08,8.11446106702e-08
133,0.934,1.50169880792e-07,8.01578754948e-08,8.94109342449e-08,9.06169145734e-08,7.96063029976e-08
134,0.935,1.47894579568e-07,7.84764138486e-08,8.77017511155e-08,8.81551957647e-08,7.8128691963e-08
135,0.936,1.45619278344e-07,7.67959070199e-08,8.6000204815e-08,8.65596368194e-08,7.67966189211e-08
136,0.937,1.4334397712e-07,7.51166611842e-08,8.42707488208e-08,8.49569042474e-08,7.53166334059e-08
137,0.938,1.41068675896e-07,7.3438499685e-08,8.25490785648e-08,8.33127292468e-08,7.38366478907e-08
138,0.939,1.38793374672e-07,7.17614731389e-08,8.08074874427e-08,8.16381344892e-08,7.24056852121e-08
139,0.94,1.36518073447e-07,7.00857493696e-08,7.90739863299e-08,7.99608869603e-08,7.10102078298e-08
140,0.941,1.34242772223e-07,6.84111589811e-08,7.73336138153e-08,7.83130818052e-08,6.88626731731e-08
141,0.942,1.31967470999e-07,6.67379461558e-08,7.55995851487e-08,7.65966157843e-08,6.75764297925e-08
142,0.943,1.29692169775e-07,6.50660136478e-08,7.3855984921e-08,7.49119095211e-08,6.61125586345e-08
143,0.944,1.27416868551e-07,6.33953650526e-08,7.21191054382e-08,7.32244029302e-08,6.46486874766e-08
144,0.945,1.25141567327e-07,6.17262382304e-08,7.03836926384e-08,7.14830654167e-08,6.33478484807e-08
145,0.946,1.22866266103e-07,6.00582619835e-08,6.86475705677e-08,6.97649678426e-08,6.18813142086e-08
146,0.947,1.20590964879e-07,5.83919460986e-08,6.69166940799e-08,6.80222170628e-08,6.04147799365e-08
147,0.948,1.18315663654e-07,5.67270037717e-08,6.51864187493e-08,6.63432352398e-08,5.89482456644e-08
148,0.949,1.1604036243e-07,5.50634772967e-08,6.34593522655e-08,6.45989812915e-08,5.74817113923e-08
149,0.95,1.13765061206e-07,5.34015510985e-08,6.17355774233e-08,6.28990892549e-08,5.60151771202e-08
150,0.951,1.11489759982e-07,5.17410250966e-08,6.00150976577e-08,6.11542249786e-08,5.46822912775e-08
151,0.952,1.09214458758e-07,5.00821683087e-08,5.82984557238e-08,5.9451037056e-08,5.33052810183e-08
152,0.953,1.06939157534e-07,4.84248460536e-08,5.65855123955e-08,5.77061197425e-08,5.18326667826e-08
153,0.954,1.0466385631e-07,4.67690421137e-08,5.48764774343e-08,5.59891640456e-08,5.03600525469e-08
