,vfr,0.00,0.05,0.10,0.30,0.60
0,0.8,0.0,0.0,0.0,0.0,0.00175561744717
1,0.801,0.0,0.0,0.0,0.0,0.00175182940387
2,0.802,0.0,0.0,0.0,0.0,0.00886192454457
3,0.803,0.0,0.0,0.0,0.0,0.00884207197983
4,0.804,0.0,0.0,2.99369083629e-05,0.0,0.00882305210356
5,0.805,0.0,0.0,0.000213852067745,0.0,0.00881340283267
6,0.806,0.0,0.0,0.000563005452702,0.0,0.00880334046143
7,0.807,0.0,0.0,0.00107706378066,7.02229110361e-05,0.00879393553987
8,0.808,0.0,0.0,0.00175619966247,0.000519208632171,0.0209973913515
9,0.809,0.0,0.0,0.00259944882452,0.00051854002478,0.0179595143748
10,0.81,0.0,0.0,0.00360676383052,0.001341345302,0.0178601767302
11,0.811,0.0,0.0,0.00477721528863,0.00134004072679,0.0189761165403
12,0.812,0.0,0.0,0.00611068657001,0.00253216321215,0.0189761165403
13,0.813,0.0,0.0116411155013,0.00760585932733,0.00409044955189,0.0351585583457
14,0.814,0.0,0.0220281287529,0.00926385302464,0.0040864535692,0.0351207093964
15,0.815,0.0,0.0263313016728,0.0110822460812,0.00600695652094,0.0351207093964
16,0.816,0.0,0.0327055280734,0.0130582253216,0.0082840425473,0.0351207093964
17,0.817,0.0,0.0378768686614,0.0151898805505,0.00827858610407,0.0361219387822
18,0.818,0.0,0.0434279896038,0.0174749962045,0.00865249520133,0.0559767058989
19,0.819,0.0,0.0487107898543,0.0198867949412,0.00897745335748,0.0559152943129
20,0.82,0.0,0.054349507408,0.0179030124422,0.0123531589766,0.0569221061437
21,0.821,0.0,0.0595959603839,0.020430079773,0.0126777159354,0.0569221061437
22,0.822,0.0,0.0643330613182,0.0231219274626,0.0160535025952,0.05233579939
23,0.823,0.0,0.0701658711672,0.0259810465891,0.0201160660094,0.0761102662744
24,0.824,0.0,0.0754270671692,0.0290011100975,0.0200965715211,0.0771070133853
25,0.825,0.0,0.0799975502822,0.0321843222904,0.0244999751352,0.0770196405497
26,0.826,0.0,0.0857339745122,0.0355301127288,0.0292481153519,0.0768499243721
27,0.827,0.0,0.09072211974,0.0390330808157,0.029219703911,0.0778188407076
28,0.828,0.0,0.095887096374,0.0427017689071,0.0342961871302,0.105875761864
29,0.829,0.0,0.102367596889,0.0465257230392,0.0393575679483,0.105875761864
30,0.83,0.0,0.107975965977,0.0484714702472,0.0393978436348,0.105761179505
31,0.831,0.0,0.112583897426,0.0525317176592,0.0447798764426,0.106789040029
32,0.832,0.0,0.118553891937,0.0567364181552,0.0447654731298,0.106672392217
33,0.833,0.0,0.124721526042,0.0611036449645,0.0508151556362,0.140042315052
34,0.834,0.0,0.129755802905,0.0656106740301,0.0529521604348,0.139886534808
35,0.835,0.0,0.137559893155,0.0702784380984,0.052850187854,0.134909443119
36,0.836,0.0,0.135239878474,0.0750809854958,0.0596121547149,0.134614037815
37,0.837,0.0,0.141363650684,0.0800054873634,0.0666951010532,0.134315090347
38,0.838,0.0,0.148961120623,0.0850555834035,0.0666091438568,0.170285878687
39,0.839,0.0,0.155228585678,0.0818785920565,0.0740050100591,0.17124750358
40,0.84,0.0,0.161598581479,0.087169776213,0.0813847498238,0.172037538113
41,0.841,0.0,0.168099964058,0.0926198950742,0.0816195750616,0.172037538113
42,0.842,0.0,0.174766272786,0.0982280920519,0.0893159249162,0.21050840765
43,0.843,0.0,0.181530459532,0.103993480637,0.0976202275238,0.212286569769
44,0.844,0.0,0.188438931506,0.10990184952,0.0975565844642,0.21205108556
45,0.845,0.0,0.195461447926,0.116052712412,0.106108455735,0.211820597214
46,0.846,0.0,0.202698897439,0.122381262896,0.115003481064,0.254347331408
47,0.847,0.0,0.210013073536,0.128970460106,0.114966506382,0.256062138967
48,0.848,0.0,0.217500630011,0.135706477968,0.124732728249,0.25578154354
49,0.849,0.0,0.225133389547,0.142478902858,0.134511848182,0.255504110297
50,0.85,0.0,0.230993497209,0.149488245194,0.134764387551,0.295780993892
51,0.851,0.0,0.238888893406,0.156657679335,0.1448104313,0.295128651983
