,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,0.72,65.8647800854,1.57079632679,0.342342345845,5.95761829918,1.57079632679,0.172351205444,0.986306651958,3.14159265359,1.0,613.66114103,0.796452017898
1,0.0314749859677,0.720133754892,65.8571337212,1.582599142,0.342405943016,5.99597926248,1.7007959738,0.172398801551,0.986361909041,3.14340052373,1.0,613.662299167,0.794542166867
2,0.0629266069621,0.720534787863,65.834219574,1.59439137019,0.341875368322,6.10946864092,1.82784896007,0.17217568285,0.9865551624,3.14517673256,1.0,613.656864553,0.786735087662
3,0.0943316160532,0.721202405401,65.7961122333,1.60616247888,0.342192135802,6.29359282836,1.94943610789,0.172412839933,0.986826528662,3.14690914928,1.0,613.662640635,0.777350458769
4,0.125667001323,0.722135457005,65.7429351961,1.61790204407,0.342634844971,6.54170496091,2.06374864759,0.172744645059,0.987200452766,3.14857067892,1.0,613.670695212,0.764378159125
5,0.156910100038,0.723332343149,65.6748596535,1.62959980291,0.343202736896,6.84594478867,2.16976550169,0.173170885666,0.987671064028,3.15013877633,1.0,613.680996763,0.747970562002
6,0.188038707145,0.72479102621,65.5921028299,1.6412457038,0.343894844774,7.1981063638,2.26716073109,0.173691291594,0.988230979166,3.15159179306,1.0,613.693505359,0.728306124605
7,0.219031179626,0.726509044281,65.4949258994,1.65282995445,0.343982764222,7.59027897471,2.35612455144,0.173933651441,0.988894762641,3.15288502066,1.0,613.699305142,0.703796093588
8,0.249866532686,0.728483527578,65.3836315269,1.66434306618,0.344917629687,8.01523000637,2.43717367563,0.174639350326,0.989604161154,3.15404496008,1.0,613.716100856,0.67829991067
9,0.280524528553,0.730711217237,65.2585610748,1.67577589477,0.345972381648,8.46657489904,2.51099418405,0.175437814623,0.990372778713,3.15503236013,1.0,613.734940918,0.650150071748
10,0.310985756371,0.733188486233,65.1200915284,1.68711967715,0.346411380402,8.93880363036,2.57833012871,0.17594987649,0.991206968922,3.15580043079,1.0,613.746932914,0.618042437341
11,0.341231702646,0.735911362106,64.9686321926,1.6983660637,0.347697864298,9.4272259947,2.63991379915,0.176929593923,0.992055254464,3.15639380662,1.0,613.769682858,0.585253261348
12,0.371244811781,0.738875551209,64.8046212174,1.70950714589,0.348358746893,9.92787997269,2.69642733234,0.177615702892,0.992939147881,3.15673819472,1.0,613.785465023,0.549061073827
13,0.401008536433,0.742076464141,64.6285220061,1.72053547926,0.349867886023,10.4374302015,2.74848525357,0.178773382126,0.993813476378,3.15688648685,1.0,613.811818895,0.512299665892
14,0.430507377601,0.745509242068,64.4408195624,1.73144410153,0.350740087392,10.9530708953,2.79662976376,0.179629041689,0.994691853619,3.15676468393,1.0,613.831078433,0.472623830317
15,0.459726914558,0.749168783614,64.2420168278,1.74222654606,0.352461793625,11.4724395825,2.84133311642,0.180961130373,0.995536277519,3.15643009445,1.0,613.86069797,0.432411333993
16,0.488653824858,0.753049772012,64.0326310591,1.75287685067,0.353533880494,11.9935435256,2.88300348991,0.181981615487,0.996353177013,3.15581284422,1.0,613.883094588,0.3896988378
17,0.51727589485,0.757146702257,63.8131902898,1.76338956208,0.354699359562,12.5146984156,2.92199221767,0.183080502253,0.99711800391,3.15494172701,1.0,613.906931805,0.345641261111
18,0.545582021189,0.761453907973,63.584229915,1.77375973615,0.35595493351,13.0344779528,2.9586011864,0.184256290664,0.997817714903,3.153814522,1.0,613.932121311,0.300294847728
19,0.573562203887,0.765965587754,63.3462894347,1.78398293424,0.358063997031,13.5516726361,2.99308979326,0.185920873272,0.998436611058,3.15245363541,1.0,613.967235968,0.254251322026
20,0.601207532231,0.770675830866,63.0999093793,1.7940552162,0.359494435178,14.0652561426,3.0256811938,0.187251091002,0.998970421461,3.15080932436,1.0,613.994846933,0.206320502227
21,0.628510162702,0.775578641858,62.8456284516,1.80397312986,0.361005077107,14.5743578271,3.05656775918,0.188653929068,0.999403530484,3.14890926246,1.0,614.023542102,0.15716581826
22,0.655463291897,0.780667964281,62.5839808857,1.81373369798,0.362592531531,15.0782401698,3.0859157647,0.190127870653,0.999725635692,3.14675589004,1.0,614.053234101,0.106774575855
23,0.682061123574,0.785937703122,62.3154940473,1.8233344027,0.364253413539,15.5762801531,3.11386937375,0.191671403457,0.999927281509,3.14435252595,1.0,614.083836977,0.0551158957088
24,0.708298831212,0.791381745934,62.0406862775,1.83277316787,0.365984354563,16.0679537832,3.14055400192,0.193283022733,0.999999891241,3.14170325407,1.0,614.115266586,0.00213929982066
25,0.734172517337,0.796993982685,61.7600649765,1.84204833985,0.367782011623,16.5528231365,3.16607914757,0.194961234123,0.999935785828,3.13881281391,1.0,614.147440933,-0.0522274535867
26,0.759679168909,0.802768323981,61.4741249411,1.85115866671,0.369643075707,17.0305254072,3.19054076789,0.19670455618,0.999728190527,3.13568649664,1.0,614.180280469,-0.108081517413
27,0.784816611473,0.808698718037,61.1833469297,1.8601032767,0.371564279465,17.5007636027,3.21402327418,0.198511522713,0.999371230829,3.13233004722,1.0,614.213708332,-0.165549436709
28,0.809583461135,0.814779166055,60.8881964618,1.86888165584,0.373542404071,17.9632985515,3.23660120687,0.200380684839,0.998859918936,3.12874957354,1.0,614.24765055,-0.224793488803
29,0.833979076106,0.821003736281,60.5891228304,1.87749362536,0.375574285386,18.417942004,3.25834064416,0.202310612848,0.998190132115,3.12495146276,1.0,614.282036202,-0.286020710416
30,0.858003506956,0.827366576402,60.2865583295,1.88593931857,0.377656819285,18.8645506097,3.27930038734,0.204299897733,0.997358584245,3.12094230535,1.0,614.316797532,-0.349495936548
31,0.88165744778,0.833861924764,59.9809176637,1.89421915821,0.379786966367,19.3030206556,3.29953296158,0.206347152579,0.996362791764,3.11672882649,1.0,614.35187004,-0.41556107072
32,0.904942187858,0.840484120249,59.6725975338,1.90233383397,0.38112043055,19.7332834277,3.31908546203,0.207949970982,0.995210663872,3.11238260795,1.0,614.378845359,-0.483512120849
33,0.927859563376,0.847227610639,59.3619763936,1.91028428026,0.383330213876,20.15530109,3.33800027029,0.210100499787,0.993884580271,3.10779134735,1.0,614.414390221,-0.55604031116
34,0.950411911243,0.854086960003,59.0494143405,1.9180716548,0.385578801423,20.5690630326,3.3563156637,0.212304711821,0.992391535254,3.10301666963,1.0,614.450073026,-0.633003675172
35,0.972602024307,0.861056854932,58.7352531363,1.92569731798,0.387863451838,20.9745826133,3.37406633438,0.214561316932,0.990731837781,3.09806529266,1.0,614.485842421,-0.715586093309
36,0.994433107457,0.868132109447,58.4198163535,1.9331628127,0.389312501214,21.3718942254,3.39128383173,0.216332260983,0.988928459364,3.09305335099,1.0,614.513389582,-0.803293372649
37,1.01590873644,0.875307669178,58.1034096088,1.94046984538,0.391654185996,21.7610506843,3.40799694211,0.218680222454,0.986942561498,3.08778069295,1.0,614.549222525,-0.903211423435
38,1.03703281859,0.882578614615,57.7863208831,1.94762026798,0.394024089902,22.1421208774,3.42423201455,0.22107658938,0.984794554922,3.08235124292,1.0,614.585007282,-1.01898352223
39,1.0578095548,0.889940163231,57.4688209269,1.95461606059,0.395528965147,22.5151876377,3.44001324076,0.222953904165,0.982521446421,3.07691930472,1.0,614.612502294,-1.15877671669
40,1.07824340462,0.897387671167,57.1511637113,1.96145931545,0.397940682724,22.8803458461,3.45536289726,0.22543308321,0.980061462764,3.07120836264,1.0,614.648108649,-1.38851562764
41,1.09833905279,0.904916634014,56.8335869378,1.96815222172,0.400373529484,23.2377007148,3.47030155469,0.227956906629,0.977447882542,3.06535896881,0.0,0.0,0.0
42,1.11810137852,0.912522687132,56.5163125797,1.97469705142,0.40191189797,23.5873662497,3.48484825971,0.229926173045,0.974733897052,3.05956771702,0.0,0.0,0.0
43,1.13753542602,0.920201605146,56.1995474655,1.98109614616,0.404372881281,23.9294638563,3.49902069273,0.232524705721,0.971829232185,3.05347308489,0.0,0.0,0.0
44,1.15664637788,0.927949301184,55.8834838732,1.98735190496,0.405919768139,24.2641210987,3.51283530606,0.234543883435,0.968843437925,3.04747843438,0.0,0.0,0.0
45,1.17543953035,0.93576182567,55.56830014,1.99346677311,0.408400560313,24.591470585,3.52630744467,0.237211780487,0.965664388772,3.04116088247,0.0,0.0,0.0
46,1.19392026998,0.943635364477,55.2541612901,1.99944323168,0.409947699656,24.9116489591,3.53945145175,0.239274605935,0.962425211586,3.03498613314,0.0,0.0,0.0
47,1.21209405275,0.951566237015,54.9412196542,2.00528378804,0.412440625033,25.2247960086,3.55228076199,0.242006697174,0.958989877219,3.02846622883,0.0,0.0,0.0
48,1.22996638499,0.959550894019,54.6296154876,2.01099096736,0.413980419536,25.5310538697,3.56480798379,0.244107079056,0.955516800055,3.02213294459,0.0,0.0,0.0
49,1.24754280535,0.967585914829,54.3194775918,2.01656730455,0.416478425603,25.8305663074,3.57704497159,0.246898357818,0.951844192323,3.01542955076,0.0,0.0,0.0
50,1.26482886904,0.975668004751,54.010923915,2.02201533719,0.418003913761,26.123478088,3.58900289046,0.249030366141,0.948157303023,3.00895763184,0.0,0.0,0.0
51,1.28183013355,0.983793992234,53.7040621408,2.02733759919,0.420500539044,26.4099344219,3.59557557853,0.251875977208,0.945449341837,3.00336770351,0.0,0.0,0.0
52,1.29855214518,0.991960825641,53.398990272,2.03253661489,0.422005360092,26.6900804627,3.59454281106,0.254033831939,0.94457343219,2.99998972213,0.0,0.0,0.0
53,1.31500042753,1.00016557021,53.0957971858,2.03761489392,0.423493533578,26.9640608764,3.59351773806,0.256195892499,0.9437239212,2.99663779731,0.0,0.0,0.0
54,1.33118047122,1.0084054049,52.7945631714,2.04257492669,0.425973057781,27.2320194636,3.59249641848,0.259107118773,0.942792256337,2.99294264745,0.0,0.0,0.0
55,1.34709772414,1.01667761897,52.495360458,2.04741918022,0.427432035872,27.4940988207,3.59147532242,0.261286385638,0.941997043502,2.98964119101,0.0,0.0,0.0
56,1.3627575835,1.02497960875,52.1982537107,2.05215009457,0.429896356296,27.7504400577,3.59045129082,0.264240123151,0.941119105593,2.98598131303,0.0,0.0,0.0
57,1.37816538843,1.03330887428,51.9033005118,2.05677007976,0.431321125587,28.0011825474,3.58942149927,0.266431145337,0.940381561001,2.98274130162,0.0,0.0,0.0
58,1.39332641381,1.04166301611,51.6105518152,2.06128151305,0.432722878464,28.2464637173,3.5883834255,0.268618895342,0.939674414857,2.97954110834,0.0,0.0,0.0
59,1.40824586445,1.0500397318,51.3200523896,2.06568673653,0.435151604479,28.4864188649,3.58733482014,0.271620411758,0.938883540158,2.97595910054,0.0,0.0,0.0
60,1.42292887054,1.05843681278,51.0318412305,2.0699880552,0.436512483268,28.7211810093,3.58627368033,0.273811732388,0.938237819528,2.97283561415,0.0,0.0,0.0
61,1.43738048371,1.06685214113,50.7459519521,2.07418773531,0.437847229028,28.9508807695,3.58519822597,0.275995438169,0.93762391241,2.96975917586,0.0,0.0,0.0
62,1.45160567332,1.07528368629,50.4624131681,2.0782880029,0.440231262897,29.1756462577,3.58410687828,0.279034333859,0.93692528228,2.96627690132,0.0,0.0,0.0
63,1.46560932382,1.08372950197,50.181248842,2.08229104273,0.441519430685,29.3956030014,3.58299824049,0.2812136628,0.936375192194,2.96329091004,0.0,0.0,0.0
64,1.47939623264,1.09218772319,49.9024786184,2.08619899744,0.442778810672,29.6108738841,3.58187108031,0.283381160426,0.935857681227,2.96035839527,0.0,0.0,0.0
65,1.49297110798,1.10065656312,49.626118146,2.09001396677,0.44511036584,29.8215790936,3.58072431419,0.286447321617,0.935254531766,2.95699557865,0.0,0.0,0.0
66,1.50633856776,1.10913431021,49.3521793697,2.09373800717,0.446318315009,30.0278360956,3.57955699297,0.288602709967,0.934802002408,2.95416570767,0.0,0.0,0.0
