,e,1.30,1.80,2.20
122,0.5795,-1270.76350628,-917.773650402,-750.905716663
123,0.5842,-1295.00601284,-935.282127558,-765.230834417
124,0.589,-1319.25755186,-952.797128176,-779.561289547
125,0.5938,-1344.15915431,-970.781619287,-794.275873359
126,0.5985,-1369.15741732,-988.835920466,-809.047574367
127,0.6032,-1395.24094167,-1007.67402183,-824.460566568
128,0.608,-1423.71583487,-1027.55592236,-840.727576218
129,0.6128,-1452.89967955,-1047.20134945,-856.801107651
130,0.6175,-1481.40903708,-1068.62546693,-874.329931241
131,0.6222,-1512.1140765,-1090.57084738,-891.846131359
132,0.627,-1539.40775221,-1110.51417249,-907.141659545
133,0.6318,-1563.54196401,-1129.22476182,-923.91117265
134,0.6365,-1594.90414867,-1151.38465719,-942.041996407
135,0.6412,-1624.44424977,-1173.20974691,-959.898888081
136,0.646,-1655.66099423,-1195.75517406,-978.345146884
137,0.6507,-1689.25374255,-1220.01660388,-998.195407824
138,0.6555,-1724.35070223,-1245.36440877,-1018.93452118
139,0.6603,-1757.80641573,-1269.52686906,-1038.70380709
140,0.665,-1791.63342489,-1293.95748703,-1058.6924946
141,0.6697,-1826.98171858,-1319.48681071,-1079.58012325
142,0.6745,-1864.20958252,-1346.37360169,-1101.57840692
143,0.6793,-1902.34076315,-1373.91278838,-1124.11046902
144,0.684,-1941.07857318,-1401.89009591,-1147.00099347
145,0.6887,-1983.48594251,-1432.51764132,-1172.05989462
146,0.6935,-2024.66053553,-1462.2548476,-1196.3903362
147,0.6983,-2066.77221258,-1492.66883805,-1221.27451077
148,0.703,-2109.33454169,-1523.40829837,-1246.42497846
149,0.7077,-2156.37763364,-1557.38386542,-1274.22316992
150,0.7125,-2201.10734059,-1589.68865426,-1300.65436099
151,0.7172,-2227.64228547,-1608.85278409,-1316.33410472
152,0.722,-2253.73902737,-1627.70043166,-1331.75490753
153,0.7268,-2280.15215276,-1646.77657847,-1347.36266427
154,0.7315,-2311.59864475,-1669.48793372,-1365.94468219
155,0.7362,-2341.30396394,-1690.94177633,-1383.49782651
156,0.741,-2370.26441979,-1711.85766216,-1400.6108244
157,0.7458,-2400.69773856,-1733.8372818,-1418.59414979
158,0.7505,-2433.87631039,-1757.79958427,-1438.1996702
159,0.7552,-2465.69544988,-1780.78007477,-1457.00189005
160,0.76,-2503.26956033,-1807.91693299,-1479.20477431
161,0.7647,-2542.69305324,-1836.38945693,-1502.5004762
162,0.7695,-2579.71868209,-1863.13018935,-1524.37925747
163,0.7742,-2620.20081314,-1892.36728538,-1548.30051838
164,0.779,-2664.11427296,-1924.08256253,-1574.24938175
165,0.7837,-2708.76911891,-1956.33328642,-1600.63633834
166,0.7885,-2756.38996509,-1990.72611997,-1628.77592951
167,0.7933,-2814.83449187,-2032.93605693,-1663.31133284
168,0.798,-2861.65037719,-2066.17674381,-1690.50825932
169,0.8027,-2911.12911248,-2100.37273306,-1718.48679647
170,0.8075,-2981.08196035,-2149.71351618,-1756.51749646
171,0.8123,-3041.5631728,-2189.50695063,-1789.49900793
172,0.817,-3121.59854607,-2235.29247067,-1826.26279568
173,0.8217,-3188.57793411,-2295.7234872,-1875.25497101
174,0.8265,-3265.55869754,-2345.93838351,-1915.69487705
175,0.8312,-3342.86935583,-2404.8007064,-1963.36297181
176,0.836,-3445.66830442,-2463.08894097,-2010.42892656
177,0.8407,-3541.88401662,-2531.83710495,-2060.86338664
178,0.8455,-3658.98669761,-2615.63190977,-2121.07077536
179,0.8502,-3762.91933536,-2688.8364884,-2179.8252972
180,0.855,-3874.41438427,-2767.45014084,-2257.62555264
181,0.8598,-4017.12393406,-2860.27004836,-2333.45668359
182,0.8645,-4155.78789483,-2952.08707255,-2407.98942928
183,0.8692,-4296.55072266,-3051.16121415,-2488.44226023
184,0.874,-4472.98942017,-3177.84078794,-2584.05781648
185,0.8788,-4638.65322634,-3304.46603663,-2679.06122361
186,0.8835,-4844.35061139,-3432.22164133,-2782.29650682
187,0.8882,-5041.26320102,-3571.38900143,-2894.79548375
188,0.893,-5283.80407408,-3745.41693638,-3036.74075264
189,0.8977,-5548.78481778,-3913.18641512,-3182.91585716
190,0.9025,-5839.37512845,-4104.44380809,-3307.47906523
191,0.9073,10663.1212907,7701.14315421,6300.93530795
192,0.912,11377.1659564,8216.84207943,6722.87079229
193,0.9167,12171.9639154,8790.86282774,7192.52413169
194,0.9215,13066.7786345,9437.11790254,7721.27828388
195,0.9263,14077.6779944,10167.2118848,8318.62790573
196,0.931,15223.9769606,10995.0944715,8995.98638578
197,0.9357,16530.0517967,11938.370742,9767.75787982
198,0.9405,18044.2896324,13031.9869567,10662.5347827
199,0.9452,19820.878995,14315.079274,11712.3375878
