,vfr,v imp [km s-1],ang imp [pi rad]
0,1.8,,
1,1.82110552764,,
2,1.84221105528,,
3,1.86331658291,,
4,1.88442211055,638.441308289,0.313332003366
5,1.90552763819,631.152391724,0.232933529561
6,1.92663316583,627.618619767,0.185530727324
7,1.94773869347,627.1470215,0.14949907918
8,1.96884422111,625.42911609,0.11815019825
9,1.98994974874,624.574943002,0.0907068077338
10,2.01105527638,624.410565553,0.0665750991368
11,2.03216080402,622.108952688,0.0434170987833
12,2.05326633166,626.638128222,0.0236139750355
13,2.0743718593,622.322434327,0.00318000832393
14,2.09547738693,621.057939267,-0.0156474678514
15,2.11658291457,624.75417554,-0.0325434991891
16,2.13768844221,621.423289704,-0.0495846985114
17,2.15879396985,620.386123736,-0.0649175229349
18,2.17989949749,620.865150519,-0.0803809126437
19,2.20100502513,612.367116605,-0.0944807585007
20,2.22211055276,605.804631313,-0.107730723254
21,2.2432160804,610.39964568,-0.121630992652
22,2.26432160804,604.478345289,-0.133468792094
23,2.28542713568,612.294045753,-0.14712337366
24,2.30653266332,611.948687668,-0.158848529091
25,2.32763819095,611.85942167,-0.170070499407
26,2.34874371859,607.26973209,-0.180857102446
27,2.36984924623,612.064524282,-0.193819117828
28,2.39095477387,614.041745695,-0.204136447187
29,2.41206030151,615.262031162,-0.215312367498
30,2.43316582915,614.499584917,-0.225325562464
31,2.45427135678,608.445656255,-0.232603434914
32,2.47537688442,613.259889855,-0.245842363844
33,2.49648241206,601.791876554,-0.249167593304
34,2.5175879397,612.387907139,-0.262382132354
35,2.53869346734,604.3844036,-0.267985250742
36,2.55979899497,604.054942603,-0.277052683842
37,2.58090452261,609.172761318,-0.288999776738
38,2.60201005025,607.23146492,-0.296255884388
39,2.62311557789,607.485772916,-0.304354838689
40,2.64422110553,608.108431814,-0.312158624054
41,2.66532663317,607.401626005,-0.318343858078
42,2.6864321608,606.210302982,-0.327188534274
43,2.70753768844,602.537656467,-0.329459733428
44,2.72864321608,600.496963135,-0.336312505547
45,2.74974874372,605.23324545,-0.349040945319
46,2.77085427136,607.779129325,-0.359748266905
47,2.79195979899,600.696880215,-0.359739729235
48,2.81306532663,605.411498091,-0.37188196879
49,2.83417085427,606.702167869,-0.379861012764
50,2.85527638191,604.509561231,-0.382675123744
51,2.87638190955,604.70479525,-0.387616772515
52,2.89748743719,601.277681399,-0.394242448002
53,2.91859296482,600.85931143,-0.396474300865
54,2.93969849246,602.604436186,-0.410175238621
55,2.9608040201,605.164716741,-0.415537999259
56,2.98190954774,605.343938992,-0.426734854198
57,3.00301507538,602.641199779,-0.431551926337
58,3.02412060302,603.953989926,-0.430624441536
59,3.04522613065,603.715199556,-0.438807098317
60,3.06633165829,604.010981684,-0.448166396507
61,3.08743718593,604.560737944,-0.458409118365
62,3.10854271357,603.132267938,-0.460507965229
63,3.12964824121,604.131821744,-0.471461170465
64,3.15075376884,603.609286608,-0.473509070185
65,3.17185929648,,
66,3.19296482412,,
67,3.21407035176,,
68,3.2351758794,,
69,3.25628140704,,
70,3.27738693467,,
71,3.29849246231,,
72,3.31959798995,,
73,3.34070351759,,
74,3.36180904523,,
75,3.38291457286,,
76,3.4040201005,,
77,3.42512562814,,
78,3.44623115578,,
79,3.46733668342,,
80,3.48844221106,,
81,3.50954773869,,
82,3.53065326633,,
83,3.55175879397,,
84,3.57286432161,,
85,3.59396984925,,
86,3.61507537688,,
87,3.63618090452,,
88,3.65728643216,,
89,3.6783919598,600.935569544,-0.478414702122
90,3.69949748744,,
91,3.72060301508,,
92,3.74170854271,,
93,3.76281407035,,
94,3.78391959799,,
95,3.80502512563,599.240165537,-0.465355153082
96,3.82613065327,598.688715178,-0.449935807925
97,3.8472361809,597.83361237,-0.43648970979
98,3.86834170854,,
99,3.88944723618,598.898935776,-0.458271362387
100,3.91055276382,598.393596854,-0.4413339034
101,3.93165829146,597.231164937,-0.425833831673
102,3.9527638191,595.703153596,-0.41162894056
103,3.97386934673,596.135014164,-0.431867362246
104,3.99497487437,596.679127547,-0.420470668419
105,4.01608040201,597.253256199,-0.409901431753
106,4.03718592965,595.862402062,-0.424147854961
107,4.05829145729,598.151798651,-0.416011822385
108,4.07939698492,596.359052587,-0.399635717811
109,4.10050251256,597.153132347,-0.41660736351
110,4.1216080402,596.881364605,-0.402193392001
111,4.14271356784,595.842206008,-0.387777582792
112,4.16381909548,595.013353399,-0.398904178581
113,4.18492462312,595.066677437,-0.38595854367
114,4.20603015075,595.022111738,-0.398146267803
115,4.22713567839,596.209332104,-0.386392245522
116,4.24824120603,596.536420746,-0.373883073622
117,4.26934673367,594.088059275,-0.38037085252
118,4.29045226131,594.955168418,-0.36853422581
119,4.31155778894,593.547603122,-0.376142078589
120,4.33266331658,594.906547243,-0.364675561574
121,4.35376884422,594.523724693,-0.373420780023
122,4.37487437186,590.173703178,-0.3537618855
123,4.3959798995,591.212376758,-0.363571034042
124,4.41708542714,592.698014396,-0.351967822277
125,4.43819095477,594.796255113,-0.362978461119
126,4.45929648241,589.805987128,-0.342624812944
127,4.48040201005,593.397431437,-0.354682562964
128,4.50150753769,590.118030067,-0.358190781585
129,4.52261306533,592.552279567,-0.346719032433
130,4.54371859296,590.458675626,-0.351406070738
131,4.5648241206,592.024458096,-0.338744640763
132,4.58592964824,591.195626533,-0.344586346653
133,4.60703517588,591.518955937,-0.330418168665
134,4.62814070352,592.049330968,-0.337387936573
135,4.64924623116,592.087524598,-0.34409594442
136,4.67035175879,592.672823547,-0.329458430184
137,4.69145728643,587.106031323,-0.329234014007
138,4.71256281407,592.640611813,-0.320442737647
139,4.73366834171,588.230487114,-0.321345509417
140,4.75477386935,590.876990124,-0.330007986838
141,4.77587939698,588.309832369,-0.312004192309
142,4.79698492462,592.570811745,-0.321744426649
143,4.81809045226,588.887287536,-0.323282194664
144,4.8391959799,592.764937641,-0.31158381644
145,4.86030150754,590.373775834,-0.314233856205
146,4.88140703518,587.78858278,-0.316695928561
147,4.90251256281,589.803070298,-0.302900784904
148,4.92361809045,588.602689669,-0.306437865056
149,4.94472361809,587.164937181,-0.309800223092
150,4.96582914573,586.704743492,-0.2935218257
151,4.98693467337,586.750656104,-0.297903723997
152,5.00804020101,586.526609965,-0.302138656932
153,5.02914572864,586.041059944,-0.306220020829
154,5.05025125628,584.226187428,-0.288187220841
155,5.07135678392,585.290469227,-0.293249754711
156,5.09246231156,586.07006128,-0.298197670355
157,5.1135678392,589.164303778,-0.284395846197
158,5.13467336683,582.769105121,-0.282686225169
159,5.15577889447,584.901168178,-0.288439887552
160,5.17688442211,586.741124048,-0.294120753418
161,5.19798994975,587.14297417,-0.277468399669
162,5.21909547739,581.728238386,-0.276505832209
163,5.24020100503,584.998536099,-0.282952295155
164,5.26130653266,587.980327657,-0.289379303382
165,5.2824120603,584.796633636,-0.269336550077
166,5.30351758794,580.404555881,-0.269112782032
167,5.32462311558,584.893473098,-0.276230565079
168,5.34572864322,580.259702517,-0.275771964149
169,5.36683417085,581.287510557,-0.259466151081
170,5.38793969849,587.332356263,-0.267353526632
171,5.40904522613,583.756110835,-0.267693228699
172,5.43015075377,580.146000211,-0.267971880742
173,5.45125628141,585.444957504,-0.275654043924
174,5.47236180905,583.030925617,-0.255703637286
175,5.49346733668,580.602730278,-0.256773475692
176,5.51457286432,578.10291543,-0.257775524303
177,5.53567839196,584.794057195,-0.266077078392
178,5.5567839196,581.968650559,-0.266878432786
179,5.57788944724,584.139317944,-0.250161140111
180,5.59899497487,582.671653165,-0.251822312139
181,5.62010050251,581.107876925,-0.253416534376
182,5.64120603015,579.45177996,-0.254943866793
183,5.66231155779,577.707184469,-0.256404498762
