,vfr,1.30,1.80,2.20
101,1.003,3.56042843773e-09,6.82590369752e-09,1.0196711589e-08
102,1.005,5.93404737129e-09,1.13765061148e-08,1.69945192436e-08
103,1.007,8.3076663102e-09,1.59271085423e-08,2.37923269135e-08
104,1.009,1.06812853131e-08,2.04777109732e-08,3.05901345885e-08
105,1.011,1.30549042433e-08,2.50283135033e-08,3.73879424118e-08
106,1.013,1.54285231774e-08,2.95789159216e-08,4.41857500679e-08
107,1.015,1.78021421512e-08,3.41295183443e-08,5.09835577307e-08
108,1.017,2.01757610848e-08,3.86801208332e-08,5.7781365398e-08
109,1.019,2.25493800498e-08,4.32307232543e-08,6.45791731526e-08
110,1.021,2.49229989839e-08,4.77813257291e-08,7.1376980817e-08
111,1.023,2.7296617944e-08,5.23319281504e-08,7.8174788554e-08
112,1.025,2.96702369012e-08,5.68825306168e-08,8.4972596218e-08
113,1.027,3.20438558564e-08,6.14331330389e-08,9.17704039439e-08
114,1.029,3.44174747906e-08,6.59837354999e-08,9.85682116084e-08
115,1.031,3.67910937439e-08,7.05343379575e-08,1.05366019327e-07
116,1.033,3.9164712696e-08,7.50849404123e-08,1.12163827041e-07
117,1.035,4.1538331647e-08,7.96355428342e-08,1.18961634705e-07
118,1.037,4.39119505972e-08,8.41861452865e-08,1.25759442415e-07
119,1.039,4.6285569561e-08,8.87367477372e-08,1.32557250121e-07
120,1.041,4.8659188509e-08,9.32873501862e-08,1.39355057826e-07
121,1.043,5.10328074567e-08,9.7837952634e-08,1.46152865528e-07
122,1.045,5.34064264163e-08,1.02388555081e-07,1.52950673228e-07
123,1.047,5.57800453626e-08,1.06939157527e-07,1.59748480927e-07
124,1.049,5.81536643086e-08,1.11489759971e-07,1.66546288624e-07
125,1.051,6.05272832653e-08,1.16040362436e-07,1.7334409632e-07
126,1.053,6.2900902221e-08,1.20590964879e-07,1.80141904015e-07
127,1.055,6.52745211657e-08,1.25141567321e-07,1.86939711709e-07
128,1.057,6.764814012e-08,1.29692169782e-07,1.93737519402e-07
129,1.059,7.00217590735e-08,1.34242772222e-07,2.00535327094e-07
130,1.061,7.23953780263e-08,1.3879337468e-07,2.07333134812e-07
131,1.063,7.47689969785e-08,1.43343977119e-07,2.14130942502e-07
132,1.065,7.71426159301e-08,1.47894579575e-07,2.20928750192e-07
133,1.067,7.95162348814e-08,1.52445182013e-07,2.27726557904e-07
134,1.069,8.18898538319e-08,1.56995784467e-07,2.34524365592e-07
135,1.071,8.42634727822e-08,1.6154638692e-07,2.41322173302e-07
136,1.073,8.66370917319e-08,1.66096989356e-07,2.48119980989e-07
137,1.075,8.90107106815e-08,1.70647591808e-07,2.54917788696e-07
138,1.077,9.11923457555e-08,1.74830130831e-07,2.61165773708e-07
139,1.079,9.35609781084e-08,1.79371173189e-07,2.67949300302e-07
140,1.081,9.59296104691e-08,1.83912215548e-07,2.74732826897e-07
141,1.083,9.82982428229e-08,1.88453257908e-07,2.81516353474e-07
142,1.085,1.00666875184e-07,1.92994300269e-07,2.88299880072e-07
143,1.087,1.03035507539e-07,1.97535342619e-07,2.95083406653e-07
144,1.089,1.05404139895e-07,2.02076384982e-07,3.01866933254e-07
145,1.091,1.0777277225e-07,2.06617427346e-07,3.08650459837e-07
146,1.093,1.10141404613e-07,2.11158469698e-07,0.0
147,1.095,1.1251003697e-07,2.15699512063e-07,0.0
148,1.097,1.14878669326e-07,2.20240554418e-07,0.0
149,1.099,1.17247301684e-07,2.24781596774e-07,0.0
150,1.102,1.19615934042e-07,2.29322639141e-07,0.0
151,1.104,1.21984566394e-07,0.0,0.0
152,1.106,1.24353198753e-07,0.0,0.0
153,1.108,1.26721831111e-07,0.0,0.0
154,1.11,1.2909046347e-07,0.0,0.0
155,1.112,1.31459095824e-07,0.0,0.0
156,1.114,1.33827728184e-07,0.0,0.0
157,1.116,1.35909631363e-07,0.0,0.0
158,1.118,1.38273277124e-07,0.0,0.0
159,1.12,1.40636922887e-07,0.0,0.0
160,1.122,0.0,0.0,0.0
161,1.124,0.0,0.0,0.0
162,1.126,0.0,0.0,0.0
163,1.128,0.0,0.0,0.0
164,1.13,0.0,0.0,0.0
165,1.132,0.0,0.0,0.0
166,1.134,0.0,0.0,0.0
167,1.136,0.0,0.0,0.0
168,1.138,0.0,0.0,0.0
169,1.14,0.0,0.0,0.0
170,1.142,0.0,0.0,0.0
171,1.144,0.0,0.0,0.0
172,1.146,0.0,0.0,0.0
173,1.148,0.0,0.0,0.0
174,1.15,0.0,0.0,0.0
175,1.152,0.0,0.0,0.0
176,1.154,0.0,0.0,0.0
177,1.156,0.0,0.0,0.0
178,1.158,0.0,0.0,0.0
179,1.16,0.0,0.0,0.0
180,1.162,0.0,0.0,0.0
181,1.164,0.0,0.0,0.0
182,1.166,0.0,0.0,0.0
183,1.168,0.0,0.0,0.0
184,1.17,0.0,0.0,0.0
185,1.172,0.0,0.0,0.0
186,1.174,0.0,0.0,0.0
187,1.176,0.0,0.0,0.0
188,1.178,0.0,0.0,0.0
189,1.18,0.0,0.0,0.0
190,1.182,0.0,0.0,0.0
191,1.184,0.0,0.0,0.0
192,1.186,0.0,0.0,0.0
193,1.188,0.0,0.0,0.0
194,1.19,0.0,0.0,0.0
195,1.192,0.0,0.0,0.0
196,1.194,0.0,0.0,0.0
197,1.196,0.0,0.0,0.0
198,1.198,0.0,0.0,0.0
199,1.2,0.0,0.0,0.0
