,time [yr],macc [MSun],mdon [MSun],a [AU],L [kg m2 s-1],v
0,0.0,1.0,1.2,1.8,0.0,0.0
1,1.62802040437,1.00000162802,1.2,1.8,1.06707304008e+39,1.76569763871e-06
2,3.25604080874,1.00000325604,1.2,1.8,2.13414608016e+39,3.53138665368e-06
3,4.88406121311,1.00000488406,1.2,1.8,3.20121912024e+39,5.29706704495e-06
4,6.51208161747,1.00000651208,1.2,1.8,4.26829216032e+39,7.06273881259e-06
5,8.14010202184,1.0000081401,1.2,1.8,5.3353652004e+39,8.82840195664e-06
6,9.76812242621,1.00000976812,1.2,1.8,6.40243824048e+39,1.05940564772e-05
7,11.3961428306,1.00001139614,1.2,1.8,7.46951128056e+39,1.23597023742e-05
8,13.0241632349,1.00001302416,1.2,1.8,8.53658432064e+39,1.41253396478e-05
9,14.6521836393,1.00001465218,1.2,1.8,9.60365736072e+39,1.5890968298e-05
10,16.2802040437,1.0000162802,1.2,1.8,1.06707304008e+40,1.7656588325e-05
11,17.9082244481,1.00001790822,1.2,1.71177,1.17378034409e+40,1.94221997286e-05
12,19.4180236874,1.00001941803,1.2,1.71177,1.27028358337e+40,2.10189629767e-05
13,20.9278229267,1.00002092783,1.2,1.71177,1.36678682266e+40,2.26157189926e-05
14,22.437622166,1.00002243764,1.2,1.71177,1.46329006195e+40,2.42124677762e-05
15,23.9474214053,1.00002394744,1.2,1.71177,1.55979330123e+40,2.58092093276e-05
16,25.4572206447,1.00002545725,1.2,1.71177,1.65629654052e+40,2.74059436468e-05
17,26.967019884,1.00002696705,1.2,1.71177,1.75279977981e+40,2.9002670734e-05
18,28.4768191233,1.00002847686,1.2,1.71177,1.84930301909e+40,3.0599390589e-05
19,29.9866183626,1.00002998666,1.2,1.71177,1.94580625838e+40,3.21961032121e-05
20,31.4964176019,1.00003149646,1.2,1.71177,2.04230949766e+40,3.37928086031e-05
21,33.0062168413,1.00003300627,1.2,1.62787,2.13881273695e+40,3.53895067622e-05
22,34.40638651,1.00003440644,1.2,1.62787,2.22608791008e+40,3.68335134408e-05
23,35.8065561788,1.00003580662,1.2,1.62787,2.31336308322e+40,3.8277514054e-05
24,37.2067258476,1.0000372068,1.2,1.62787,2.40063825635e+40,3.97215086018e-05
25,38.6068955164,1.00003860697,1.2,1.62787,2.48791342949e+40,4.11654970843e-05
26,40.0070651851,1.00004000715,1.2,1.62787,2.57518860262e+40,4.26094795014e-05
27,41.4072348539,1.00004140732,1.2,1.62787,2.66246377575e+40,4.40534558532e-05
28,42.8074045227,1.0000428075,1.2,1.62787,2.74973894889e+40,4.54974261398e-05
29,44.2075741915,1.00004420767,1.2,1.62787,2.83701412202e+40,4.69413903612e-05
30,45.6077438603,1.00004560785,1.2,1.54809,2.92428929516e+40,4.83853485173e-05
31,46.9062541456,1.00004690636,1.2,1.54809,3.00321901325e+40,4.96912244116e-05
32,48.204764431,1.00004820487,1.2,1.54809,3.08214873134e+40,5.09970952189e-05
33,49.5032747164,1.00004950338,1.2,1.54809,3.16107844943e+40,5.23029609394e-05
