,t,x,y,vx,vy,t [min],x [RSun],y [RSun],vx [km s-1],vy [km s-1]
0,0.0,-0.0699790672844,0.0,0.0,0.115433612739,0.0,-19.5676999228,0.0,0.0,0.0
1,1.1955570724e-05,-0.0699790672844,1.38007472103e-06,-4.58167765813e-05,0.115433612739,1.0,-19.5676999228,0.000385899513384,-0.00177546599245,-0.00177546599245
2,0.000609734106925,-0.0699797656857,7.03840857964e-05,-0.0023366552908,0.115435021136,51.0,-19.5678952113,0.0196809520854,-0.0905487534144,-0.0905487534144
3,0.00120751264313,-0.0699818335005,0.000139389747674,-0.00462749191808,0.115439191091,101.0,-19.5684734182,0.0389764662582,-0.179321967715,-0.179321967715
4,0.00180529117933,-0.0699852707274,0.000208398711149,-0.00691832477319,0.115446122589,151.0,-19.5694345431,0.0582729036312,-0.268095035838,-0.268095035838
5,0.00240306971553,-0.0699900773633,0.000277412627008,-0.00920915197152,0.115455815606,201.0,-19.5707785851,0.0775707258003,-0.356867884753,-0.356867884753
6,0.00300084825173,-0.0699962534045,0.000346433146016,-0.0114999716294,0.115468270106,251.0,-19.5725055433,0.0968703943565,-0.445640441467,-0.445640441467
7,0.00359862678793,-0.0700037988459,0.000415461918916,-0.0137907818646,0.115483486045,301.0,-19.5746154161,0.116172370884,-0.534412633035,-0.534412633035
8,0.00419640532413,-0.0700127136812,0.000484500596423,-0.0160815807963,0.11550146337,351.0,-19.5771082019,0.13547711696,-0.623184386575,-0.623184386575
9,0.00479418386033,-0.0700229979032,0.000553550829214,-0.0183723665456,0.115522202014,401.0,-19.5799838985,0.154785094149,-0.711955629281,-0.711955629281
10,0.00539196239654,-0.0700346515034,0.000622614267927,-0.020663137236,0.115545701906,451.0,-19.5832425037,0.174096764007,-0.800726288433,-0.800726288433
11,0.00598974093274,-0.0700476744723,0.000691692563151,-0.0229538909935,0.115571962959,501.0,-19.5868840148,0.193412588075,-0.88949629141,-0.88949629141
12,0.00658751946894,-0.0700620667992,0.000760787365423,-0.0252446259469,0.115600985081,551.0,-19.5909084287,0.21273302788,-0.978265565704,-0.978265565704
13,0.00718529800514,-0.0700778284723,0.000829900325219,-0.0275353402285,0.115632768167,601.0,-19.5953157423,0.232058544932,-1.06703403893,-1.06703403893
