,t,x,y,vx,vy,t [min],x [RSun],y [RSun],vx [km s-1],vy [km s-1]
0,0.0,-0.190099186786,0.0,0.0,-0.218991722305,0.0,-53.1559505856,0.0,0.0,0.0
1,1.1955570724e-05,-0.190099186786,-2.61817102399e-06,-6.62364499403e-05,-0.218991722305,1.0,-53.1559505856,-0.000732098710829,-0.00256675770547,-0.00256675770547
2,0.000609734106925,-0.190100196452,-0.000133526272618,-0.00337806126927,-0.218989419875,51.0,-53.1562329106,-0.0373369085327,-0.130904732972,-0.130904732972
3,0.00120751264313,-0.190103185859,-0.000264431675496,-0.00668990004834,-0.218982602853,101.0,-53.1570688152,-0.0739409637336,-0.259243249199,-0.259243249199
4,0.00180529117933,-0.19010815502,-0.000395331680912,-0.010001766758,-0.218971271166,151.0,-53.1584583028,-0.110543509684,-0.387582847775,-0.387582847775
5,0.00240306971553,-0.190115103955,-0.000526223590063,-0.0133136753716,-0.218955424693,201.0,-53.1604013792,-0.14714379174,-0.515924070193,-0.515924070193
6,0.00300084825173,-0.190124032694,-0.00065710470406,-0.0166256398668,-0.218935063263,251.0,-53.1628980527,-0.183741055231,-0.6442674581,-0.6442674581
7,0.00359862678793,-0.190134941273,-0.000787972323896,-0.0199376742264,-0.218910186659,301.0,-53.1659483336,-0.220334545455,-0.772613553351,-0.772613553351
8,0.00419640532413,-0.19014782974,-0.000918823750423,-0.0232497924398,-0.218880794613,351.0,-53.1695522348,-0.25692350767,-0.90096289806,-0.90096289806
9,0.00479418386033,-0.190162698148,-0.00104965628431,-0.0265620085045,-0.21884688681,401.0,-53.1737097716,-0.293507187086,-1.02931603465,-1.02931603465
10,0.00539196239654,-0.190179546559,-0.00118046722605,-0.0298743364275,-0.218808462886,451.0,-53.1784209613,-0.330084828854,-1.15767350591,-1.15767350591
11,0.00598974093274,-0.190198375046,-0.00131125387586,-0.0331867902264,-0.218765522429,501.0,-53.1836858238,-0.366655678063,-1.28603585503,-1.28603585503
12,0.00658751946894,-0.190219183686,-0.00144201353373,-0.0364993839306,-0.218718064977,551.0,-53.1895043813,-0.403218979726,-1.4144036257,-1.4144036257
13,0.00718529800514,-0.190241972568,-0.00157274349935,-0.0398121315832,-0.21866609002,601.0,-53.1958766584,-0.439773978778,-1.54277736208,-1.54277736208
14,0.00778307654134,-0.190266741788,-0.0017034410721,-0.0431250472418,-0.218609597001,651.0,-53.2028026819,-0.476319920063,-1.67115760894,-1.67115760894
15,0.00838085507754,-0.190293491451,-0.00183410355099,-0.0464381449803,-0.218548585311,701.0,-53.2102824811,-0.512856048327,-1.79954491165,-1.79954491165
16,0.00897863361374,-0.190322221669,-0.00196472823468,-0.0497514388898,-0.218483054294,751.0,-53.2183160875,-0.549381608213,-1.92793981627,-1.92793981627
17,0.00957641214995,-0.190352932564,-0.00209531242139,-0.0530649430802,-0.218413003247,801.0,-53.2269035352,-0.585895844249,-2.05634286959,-2.05634286959
18,0.0101741906861,-0.190385624265,-0.00222585340895,-0.0563786716815,-0.218338431415,851.0,-53.2360448603,-0.622398000839,-2.18475461915,-2.18475461915
19,0.0107719692223,-0.190420296912,-0.00235634849468,-0.0596926388454,-0.218259337996,901.0,-53.2457401016,-0.658887322261,-2.31317561334,-2.31317561334
20,0.0113697477585,-0.19045695065,-0.00248679497543,-0.0630068587461,-0.218175722138,951.0,-53.2559893002,-0.695363052653,-2.44160640146,-2.44160640146
21,0.0119675262948,-0.190495585636,-0.00261719014752,-0.0663213455821,-0.218087582943,1001.0,-53.2667924993,-0.731824436006,-2.5700475337,-2.5700475337
22,0.012565304831,-0.190536202032,-0.00274753130673,-0.0696361135775,-0.217994919459,1051.0,-53.2781497449,-0.768270716157,-2.69849956127,-2.69849956127
23,0.0131630833672,-0.190578800011,-0.00287781574824,-0.0729511769833,-0.217897730689,1101.0,-53.290061085,-0.804701136781,-2.82696303642,-2.82696303642
24,0.0137608619034,-0.190623379754,-0.00300804076663,-0.0762665500786,-0.217796015586,1151.0,-53.3025265703,-0.841114941382,-2.95543851249,-2.95543851249
25,0.0143586404396,-0.19066994145,-0.00313820365583,-0.0795822471725,-0.217689773052,1201.0,-53.3155462536,-0.877511373283,-3.08392654396,-3.08392654396
