,a,0.80,0.85,0.90,0.95
100,1.7863,-1047.13558122,-1102.34775384,,-942.162977974
101,1.7918,-1043.52521525,-1098.45114435,,-939.304297425
102,1.7972,-1040.5039597,-1095.19892763,,-936.462911832
103,1.8027,-1037.50014816,-1091.96591193,,-933.638664718
104,1.8081,-1034.51362998,-1088.75192771,,-930.831401488
105,1.8135,-1030.98228806,-1084.93969343,,-928.040969398
106,1.819,-1028.03152,-1081.76507718,,-925.267217535
107,1.8244,-1025.09759449,-1078.60898506,,-922.509996778
108,1.8298,-1021.62454605,-1075.47125542,,-919.769159786
109,1.8353,-1018.72545316,-1071.74056185,,-917.044560957
110,1.8407,-1015.84276739,-1068.64084727,,-914.336056414
111,1.8461,-1012.97634985,-1065.55901112,,-911.643503971
112,1.8516,-1009.57784715,-1061.88783983,,-908.966763116
113,1.857,-1006.74509386,-1058.84304027,,-906.305694978
114,1.8625,-1003.92819281,-1055.81565177,,-903.66016231
115,1.8679,-1001.12701131,-1052.80552542,,-901.030029464
116,1.8733,-997.800654271,-1049.21124247,,-898.415162364
117,1.8788,-995.032020164,-1046.23690491,,-895.815428486
118,1.8842,-992.278708003,-1043.27938318,-1097.97745775,-893.230696839
119,1.8896,-989.54059095,-1040.33853507,-896.722796174,-890.660837935
120,1.8951,-986.284083285,-1036.81864205,-894.167464609,-888.105723775
121,1.9005,-983.57744546,-1033.91239038,-891.626655178,-885.565227823
122,1.906,-980.885622512,-1031.02238588,-889.100244438,-883.039224988
123,1.9114,-978.208493138,-1028.1484927,-886.588110339,-880.5275916
124,1.9168,-975.019636792,-1024.70060091,-884.090132207,-878.030205395
125,1.9223,-972.372964558,-1021.86016419,-881.606190729,-875.546945491
126,1.9277,-969.74062211,-1019.03543114,-879.136167908,-873.077692364
127,1.9331,-967.122493383,-1016.22627188,-876.679947102,-870.622327844
128,1.9386,-963.999183286,-1012.84809634,-874.237412941,-868.180735092
129,1.944,-961.410533229,-1010.0713031,-871.808451335,-865.752798547
130,1.9494,-958.835748667,-1007.30969378,-869.392949487,-863.338403976
131,1.9549,-956.274718495,-1004.56314416,-866.990795817,-860.937438379
132,1.9603,-953.214937677,-1001.25249803,-864.60187998,-858.549790037
133,1.9658,-950.682449022,-998.537270857,-862.226092866,-856.175348465
134,1.9712,-948.163381274,-995.836730331,-859.863326535,-853.814004374
135,1.9766,-945.657628029,-993.150757612,-857.513474238,-851.4656497
136,1.9821,-942.659443017,-989.905546926,-855.176430379,-849.130177568
137,1.9875,-940.181333294,-987.249897451,-852.852090537,-846.807482243
138,1.9929,-937.716218563,-984.608458635,-850.540351397,-844.497459173
139,1.9984,-935.263996874,-981.981116717,-848.24111076,-842.20000494
140,2.0038,-932.824567344,-979.36775915,-845.954267557,-839.915017227
141,2.0092,-929.900114367,-976.201359673,-843.679721779,-837.642394846
142,2.0147,-927.487262124,-973.617138673,-841.417374499,-835.382037702
143,2.0201,-925.086898939,-971.04656356,-839.167127838,-833.133846756
144,2.0256,-922.698928097,-968.489526531,-836.928884989,-830.897724052
145,2.031,-919.832011722,-965.384162893,-834.702550148,-828.673572687
146,2.0364,-917.469800945,-962.855354666,-832.488028529,-826.461296765
147,2.0419,-915.119691828,-960.339760172,-830.285226372,-824.260801438
148,2.0473,-912.78159161,-957.837276109,-828.094050886,-822.071992864
149,2.0527,-909.970521157,-954.791123978,-825.914410261,-819.894778172
150,2.0582,-907.657396809,-952.315998253,-823.746213646,-817.729065496
151,2.0636,-905.356002462,-949.853671991,-821.589371164,-815.574763939
152,2.069,-903.066249117,-947.404046166,-819.443793851,-813.431783533
153,2.0745,-900.788048672,-944.967022769,-817.309393676,-811.300035287
154,2.0799,-898.043870552,-941.992252713,-815.186083539,-809.179431108
155,2.0854,-895.789713557,-939.581552333,-813.073777225,-807.069883846
156,2.0908,-893.546844433,-937.183159151,-810.972389415,-804.971307256
157,2.0962,-891.315178603,-934.796979157,-808.881835663,-802.883615966
158,2.1017,-888.623289171,-931.877578154,-806.802032415,-800.806725509
159,2.1071,-886.414950911,-929.516927796,-804.732896951,-798.740552291
160,2.1125,-884.217561427,-927.168207307,-802.674347396,-796.685013555
161,2.118,-882.031039495,-924.831326483,-800.626302735,-794.640027417
162,2.1234,-879.855304693,-922.506196023,-798.588682754,-792.605512831
163,2.1288,-877.226071445,-919.653584557,-796.561408056,-790.581389556
