,a,0.80,0.85,0.90,0.95
92,1.7429,3.12830634533e-05,0.160108826377,1.0,1.0
93,1.7483,3.12830637213e-05,0.160108826408,1.0,1.0
94,1.7537,0.0,0.156536363533,1.0,1.0
95,1.7592,0.0,0.156536363562,1.0,1.0
96,1.7646,0.0,0.15653636354,1.0,1.0
97,1.77,0.0,0.156536363564,1.0,1.0
98,1.7755,0.0,0.15300205075,1.0,1.0
99,1.7809,0.0,0.153002050773,1.0,1.0
100,1.7863,0.0,0.153002050755,1.0,1.0
101,1.7918,0.0,0.149506014953,1.0,1.0
102,1.7972,0.0,0.149506014971,1.0,1.0
103,1.8027,0.0,0.149506014954,1.0,1.0
104,1.8081,0.0,0.149506014978,1.0,1.0
105,1.8135,0.0,0.146048381029,1.0,1.0
106,1.819,0.0,0.146048381053,1.0,1.0
107,1.8244,0.0,0.146048381037,1.0,1.0
108,1.8298,0.0,0.146048381056,1.0,1.0
109,1.8353,0.0,0.142629271917,1.0,1.0
110,1.8407,0.0,0.142629271942,1.0,1.0
111,1.8461,0.0,0.142629271924,1.0,1.0
112,1.8516,0.0,0.139248808555,1.0,1.0
113,1.857,0.0,0.139248808539,1.0,1.0
114,1.8625,0.0,0.139248808564,1.0,1.0
115,1.8679,0.0,0.139248808542,1.0,1.0
116,1.8733,0.0,0.13590710983,1.0,1.0
117,1.8788,0.0,0.135907109813,1.0,1.0
118,1.8842,0.0,0.135907109835,0.986381926296,1.0
119,1.8896,0.0,0.13590710982,0.945550358182,1.0
120,1.8951,0.0,0.132604292677,0.925163794434,1.0
121,1.9005,0.0,0.132604292696,0.904808675626,1.0
122,1.906,0.0,0.132604292681,0.89126048659,1.0
123,1.9114,0.0,0.1326042927,0.877732897157,1.0
124,1.9168,0.0,0.129340472025,0.870977652526,1.0
125,1.9223,0.0,0.129340472046,0.857485910407,1.0
126,1.9277,0.0,0.129340472032,0.850750070401,1.0
127,1.9331,0.0,0.129340472045,0.844021355301,1.0
128,1.9386,0.0,0.126115760803,0.837300092642,1.0
129,1.944,0.0,0.126115760824,0.823881232157,1.0
130,1.9494,0.0,0.12611576081,0.8171842867,1.0
131,1.9549,0.0,0.126115760828,0.81049609837,1.0
132,1.9603,0.0,0.122930269949,0.803816991867,1.0
133,1.9658,0.0,0.122930269969,0.797147291254,1.0
134,1.9712,0.0,0.122930269955,0.790487319934,1.0
135,1.9766,0.0,0.122930269976,0.783837400634,1.0
136,1.9821,0.0,0.11978410841,0.783837400636,1.0
137,1.9875,0.0,0.119784108429,0.777197855384,1.0
138,1.9929,0.0,0.119784108414,0.770569005478,1.0
139,1.9984,0.0,0.119784108437,0.76395117148,1.0
140,2.0038,0.0,0.119784108452,0.757344673188,1.0
141,2.0092,0.0,0.116677383149,0.757344673191,1.0
142,2.0147,0.0,0.11667738317,0.750749829603,1.0
143,2.0201,0.0,0.116677383157,0.744166958922,1.0
144,2.0256,0.0,0.116677383179,0.737596378515,1.0
145,2.031,0.0,0.113610199098,0.737596378519,1.0
146,2.0364,0.0,0.113610199115,0.731038404905,1.0
147,2.0419,0.0,0.113610199102,0.724493353728,1.0
148,2.0473,0.0,0.11361019912,0.724493353728,1.0
149,2.0527,0.0,0.110582659245,0.717961539747,1.0
150,2.0582,0.0,0.110582659263,0.711443276794,1.0
151,2.0636,0.0,0.110582659247,0.711443276793,1.0
152,2.069,0.0,0.110582659263,0.704938877785,1.0
153,2.0745,0.0,0.110582659248,0.704938877785,1.0
154,2.0799,0.0,0.107594864594,0.698448654682,1.0
155,2.0854,0.0,0.107594864577,0.698448654684,1.0
156,2.0908,0.0,0.107594864598,0.691972918438,1.0
157,2.0962,0.0,0.107594864584,0.685511979046,1.0
158,2.1017,0.0,0.104646914116,0.68551197905,1.0
159,2.1071,0.0,0.104646914102,0.679066145486,1.0
160,2.1125,0.0,0.104646914122,0.679066145487,1.0
161,2.118,0.0,0.104646914142,0.672635725689,1.0
162,2.1234,0.0,0.10464691413,0.672635725688,1.0
163,2.1288,0.0,0.101738904878,0.666221026536,1.0
164,2.1343,0.0,0.101738904864,0.666221026537,1.0
165,2.1397,0.0,0.101738904879,0.659822353843,1.0
166,2.1452,0.0,0.101738904864,0.659822353843,1.0
167,2.1506,0.0,0.101738904882,0.653440012322,1.0
168,2.156,0.0,0.0988709318605,0.653440012328,1.0
169,2.1615,0.0,0.0988709318792,0.647074305584,1.0
170,2.1669,0.0,0.0988709318676,0.647074305585,1.0
171,2.1723,0.0,0.0988709318802,0.640725536104,1.0
172,2.1778,0.0,0.0988709318704,0.640725536107,1.0
173,2.1832,0.0,0.0960430882022,0.634394005202,1.0
174,2.1887,0.0,0.0960430881895,0.634394005206,1.0
175,2.1941,0.0,0.0960430882092,0.634394005207,1.0
176,2.1995,0.0,0.0960430881976,0.628080013047,1.0
177,2.205,0.0,0.0960430882133,0.628080013048,1.0
178,2.2104,0.0,0.093255464936,0.621783858602,1.0
179,2.2158,0.0,0.0932554649541,0.621783858602,1.0
180,2.2213,0.0,0.0932554649708,0.615505839638,1.0
181,2.2267,0.0,0.0932554649587,0.61550583964,1.0
182,2.2321,0.0,0.0932554649773,0.615505839641,1.0
183,2.2376,0.0,0.0905081512381,0.609246252702,1.0
184,2.243,0.0,0.0905081512553,0.609246252699,1.0
185,2.2485,0.0,0.0905081512477,0.603005393089,1.0
186,2.2539,0.0,0.0905081512602,0.603005393092,1.0
187,2.2593,0.0,0.090508151247,0.603005393092,1.0
188,2.2648,0.0,0.087801234242,0.596783554854,1.0
189,2.2702,0.0,0.0878012342286,0.596783554855,1.0
190,2.2756,0.0,0.0878012342385,0.59058103076,1.0
191,2.2811,0.0,0.0878012342318,0.590581030764,1.0
192,2.2865,0.0,0.0878012342428,0.590581030764,1.0
193,2.2919,0.0,0.0878012342321,0.584398112284,1.0
194,2.2974,0.0,0.085134799105,0.584398112287,1.0
195,2.3028,0.0,0.0851347990961,0.584398112287,1.0
196,2.3083,0.0,0.0851347991097,0.578235089591,1.0
197,2.3137,0.0,0.085134799096,0.578235089594,1.0
198,2.3191,0.0,0.0851347991112,0.578235089595,1.0
199,2.3246,0.0,0.0825089290933,0.572092251519,1.0
