,e,0.80,0.85,0.90,0.95
96,0.456,-647.852790906,-654.942022595,-675.074113763,-708.838484398
97,0.4607,-645.975745426,-654.892034614,-677.142817798,-713.341773057
98,0.4655,-644.055825845,-656.001429179,-679.808691594,-719.527406433
99,0.4703,-643.612508307,-657.238239921,-683.683484997,-726.189981812
100,0.475,-642.745684144,-658.613460767,-688.030086547,-732.20912943
101,0.4798,-642.32226023,-660.138930839,-691.707295411,-739.932547262
102,0.4845,-641.497711628,-661.827409591,-696.819148033,-748.201908554
103,0.4892,-642.334550186,-664.06764171,-702.741898823,-756.170269975
104,0.494,-643.270775555,-667.636392458,-707.989226153,-765.385117706
105,0.4987,-644.315528609,-671.701944113,-714.98948809,-775.149892621
106,0.5035,-645.478660296,-674.704874508,-721.914587813,-785.46130419
107,0.5082,-646.770794897,-680.050151318,-729.65522833,-796.427656226
108,0.513,-648.203399703,-684.363332039,-738.342453958,-807.986587426
109,0.5177,-651.436299645,-690.453535679,-746.415277521,-819.988263236
110,0.5225,-655.029233444,-696.181647744,-756.014492841,-832.372169534
111,0.5272,-657.544449615,-703.218428162,-766.364941914,-845.71697132
112,0.532,-662.592249741,-710.071973389,-776.373669531,-859.770402086
113,0.5367,-666.220861164,-718.480066953,-787.88785335,-873.991264684
114,0.5415,-672.421873984,-726.406874392,-799.871283953,-889.033794515
115,0.5463,-677.351858841,-735.869385791,-812.489934941,-904.672221316
116,0.551,-683.487299822,-745.635724808,-825.548280719,-920.206947332
117,0.5557,-690.882023901,-755.872895952,-839.365490057,-936.03907863
118,0.5605,-697.725816564,-766.946526014,-853.662782421,-952.234110737
119,0.5653,-706.221289066,-778.173424136,-868.679399209,-968.885610637
120,0.57,-714.843726759,-790.613275703,-884.484751934,-985.74815043
121,0.5747,-723.601994515,-803.803604404,-901.062961418,-1002.95326311
122,0.5795,-734.227567259,-817.361246729,-917.900466956,-1021.09953711
123,0.5842,-744.201545099,-831.758664553,-935.140952131,-1038.53967737
124,0.589,-756.055696663,-846.538406843,-952.842157409,-1058.29048559
125,0.5938,-767.434519917,-862.62308535,-970.522105085,-1080.58418248
126,0.5985,-780.353797413,-878.81120428,-988.999211342,-1100.54817092
127,0.6032,-793.756894002,-895.913050175,-1007.64783821,-1119.70113613
128,0.608,-807.682507402,-913.716884728,-1026.98787391,-1134.48148281
129,0.6128,-822.558201343,-932.341861429,-1047.25629905,-1153.84489212
130,0.6175,-838.415356161,-951.321904005,-1068.67783184,-1175.03805403
131,0.6222,-854.53406209,-970.955894892,-1088.66127436,-1196.17031481
132,0.627,-871.655405602,-990.915083293,-1109.13892488,-1217.46147438
133,0.6318,-889.454391857,-1011.38732,-1129.17490789,-1239.43784488
134,0.6365,-908.216815757,-1032.38271399,-1151.33296207,-1262.02881354
135,0.6412,-927.542492654,-1054.21736944,-1173.06333006,-1286.02676014
136,0.646,-948.054900251,-1077.68660462,-1196.37098468,-1309.57753814
137,0.6507,-969.269893877,-1101.01333087,-1219.80694268,-1334.54939863
138,0.6555,-991.293286535,-1121.3106065,-1243.54705308,-1359.03334468
139,0.6603,-1013.78809616,-1146.44882179,-1268.83638534,-1385.70746296
140,0.665,-1036.71563438,-1169.07157334,-1294.36591424,-1413.05993753
141,0.6697,-1060.30575597,-1194.22930511,-1319.6730436,-1439.45089735
142,0.6745,-1085.00448165,-1219.41673623,-1347.58320849,-1467.40023509
143,0.6793,-1110.9564786,-1246.15170609,-1374.29797438,-1494.48366944
144,0.684,-1135.86053881,-1272.65454791,-1402.78274029,-1524.81490523
145,0.6887,-1162.01284352,-1300.69145244,-1431.07380976,-1554.29724538
146,0.6935,-1188.86551499,-1329.23669163,-1461.36169246,-1586.80979414
147,0.6983,-1217.08936519,-1359.64294828,-1492.1582749,-1617.58144125
148,0.703,-1245.9239294,-1388.82256257,-1525.1119446,-1651.64651972
149,0.7077,-1276.0848238,-1420.02654287,-1557.40081961,-1685.4716643
150,0.7125,-1294.09082867,-1437.32540557,-1588.68809923,-1722.47396768
151,0.7172,-1307.65109267,-1451.90208986,-1607.78602237,-1756.59573014
152,0.722,-1321.91124426,-1466.37030901,-1627.33262847,-1796.48155871
153,0.7268,-1334.02493728,-1482.50685676,-1647.20545106,-1828.84424818
154,0.7315,-1348.39210427,-1500.19304437,-1668.29748317,-1849.42136288
