,time [yr],macc [MSun],mdon [MSun],a [AU],L [kg m2 s-1],v
0,0.0,1.0,1.2,2.2,0.0,0.0
1,2.19980967243,1.00000133917,1.2,2.2,8.18762725614e+38,1.35481638404e-06
2,4.39961934486,1.00000267833,1.2,2.2,1.63752545123e+39,2.70962732512e-06
3,6.5994290173,1.0000040175,1.2,2.2,2.45628817684e+39,4.06443282328e-06
4,8.79923868973,1.00000535667,1.2,2.2,3.27505090246e+39,5.41923287853e-06
5,10.9990483622,1.00000669583,1.2,2.2,4.09381362807e+39,6.7740274909e-06
6,13.1988580346,1.000008035,1.2,2.2,4.91257635368e+39,8.12881666043e-06
7,15.398667707,1.00000937417,1.2,2.2,5.7313390793e+39,9.48360038713e-06
8,17.5984773795,1.00001071333,1.2,2.2,6.55010180491e+39,1.0838378671e-05
9,19.7982870519,1.0000120525,1.2,2.2,7.36886453053e+39,1.21931515122e-05
10,21.9980967243,1.00001339167,1.2,2.2,8.18762725614e+39,1.35479189106e-05
11,24.1979063968,1.00001473083,1.2,2.09218,9.00638998175e+39,1.49026808663e-05
12,26.2379979388,1.00001610038,1.2,2.09218,9.85433723365e+39,1.63057275507e-05
13,28.2780894808,1.00001746992,1.2,2.09218,1.07022844855e+40,1.77087684706e-05
14,30.3181810228,1.00001883946,1.2,2.09218,1.15502317374e+40,1.9111803626e-05
15,32.3582725649,1.00002020901,1.2,2.09218,1.23981789893e+40,2.0514833017e-05
16,34.3983641069,1.00002157855,1.2,2.09218,1.32461262412e+40,2.19178566435e-05
17,36.4384556489,1.0000229481,1.2,2.09218,1.40940734931e+40,2.33208745056e-05
18,38.478547191,1.00002431764,1.2,2.09218,1.4942020745e+40,2.47238866034e-05
19,40.518638733,1.00002568719,1.2,2.09218,1.57899679969e+40,2.61268929368e-05
20,42.558730275,1.00002705673,1.2,2.09218,1.66379152488e+40,2.75298935058e-05
21,44.5988218171,1.00002842628,1.2,1.98965,1.74858625007e+40,2.89328883106e-05
22,46.4907999622,1.00002984819,1.2,1.98965,1.83806763335e+40,3.04134223388e-05
23,48.3827781073,1.0000312701,1.2,1.98965,1.92754901662e+40,3.18939500516e-05
24,50.2747562524,1.00003269201,1.2,1.98965,2.0170303999e+40,3.33744714489e-05
25,52.1667343975,1.00003411393,1.2,1.98965,2.10651178318e+40,3.4854986531e-05
26,54.0587125426,1.00003553584,1.2,1.98965,2.19599316646e+40,3.63354952977e-05
27,55.9506906877,1.00003695775,1.2,1.98965,2.28547454974e+40,3.78159977491e-05
28,57.8426688328,1.00003837966,1.2,1.98965,2.37495593301e+40,3.92964938853e-05
29,59.7346469779,1.00003980158,1.2,1.98965,2.46443731629e+40,4.07769837063e-05
30,61.626625123,1.00004122349,1.1999,1.89214,2.55391869957e+40,4.22574672121e-05
31,63.3812765618,1.00004280239,1.1999,1.89214,2.65680892325e+40,4.39597979756e-05
32,65.1359280007,1.0000443813,1.1999,1.89214,2.75969914693e+40,4.5662120676e-05
33,66.8905794395,1.0000459602,1.1999,1.89214,2.86258937062e+40,4.73644353132e-05
34,68.6452308783,1.0000475391,1.1999,1.89214,2.9654795943e+40,4.90667418874e-05
35,70.3998823171,1.00004911801,1.1999,1.89214,3.06836981798e+40,5.07690403985e-05
36,72.1545337559,1.00005069691,1.1999,1.89214,3.17126004166e+40,5.24713308467e-05
37,73.9091851947,1.00005227582,1.1999,1.89214,3.27415026535e+40,5.41736132319e-05
38,75.6638366335,1.00005385472,1.1999,1.89214,3.37704048903e+40,5.58758875543e-05
39,77.4184880724,1.00005543362,1.1999,1.89214,3.47993071271e+40,5.75781538138e-05
40,79.1731395112,1.00005701253,1.1999,1.7994,3.58282093639e+40,5.92804120106e-05
41,80.8003459732,1.00005863975,1.1999,1.7994,3.68945711354e+40,6.1044637134e-05
42,82.4275524352,1.00006026696,1.1999,1.7994,3.79609329069e+40,6.28088536455e-05
43,84.0547588972,1.00006189418,1.1999,1.7994,3.90272946784e+40,6.45730615452e-05
44,85.6819653592,1.0000635214,1.1999,1.7994,4.00936564498e+40,6.6337260833e-05
45,87.3091718212,1.00006514861,1.1999,1.7994,4.11600182213e+40,6.81014515091e-05
46,88.9363782832,1.00006677583,1.1999,1.7994,4.22263799928e+40,6.98656335734e-05
47,90.5635847452,1.00006840305,1.1999,1.7994,4.32927417642e+40,7.16298070261e-05
48,92.1907912072,1.00007003027,1.1999,1.7994,4.43591035357e+40,7.33939718671e-05
49,93.8179976692,1.00007165748,1.1999,1.71121,4.54254653072e+40,7.51581280966e-05
50,95.3270560802,1.00007316656,1.1999,1.71121,4.63898628278e+40,7.67535860681e-05
51,96.8361144913,1.00007467563,1.1999,1.71121,4.73542603484e+40,7.83490368171e-05
52,98.3451729023,1.0000761847,1.1999,1.71121,4.8318657869e+40,7.99444803435e-05
53,99.8542313134,1.00007769377,1.1999,1.71121,4.92830553896e+40,8.15399166474e-05
54,101.363289724,1.00007920284,1.1999,1.71121,5.02474529102e+40,8.31353457289e-05
55,102.872348135,1.00008071191,1.1999,1.71121,5.12118504309e+40,8.4730767588e-05
56,104.381406546,1.00008222098,1.1999,1.71121,5.21762479515e+40,8.63261822247e-05
57,105.890464957,1.00008373006,1.1999,1.71121,5.31406454721e+40,8.79215896391e-05
58,107.399523369,1.00008523913,1.1999,1.71121,5.41050429927e+40,8.95169898312e-05
59,108.90858178,1.0000867482,1.1999,1.62735,5.50694405133e+40,9.11123828011e-05
60,110.308080605,1.00008814771,1.1999,1.62735,5.59416256594e+40,9.25552187413e-05
61,111.707579431,1.00008954721,1.1999,1.62735,5.68138108056e+40,9.39980486242e-05
62,113.107078257,1.00009094672,1.1999,1.62735,5.76859959517e+40,9.54408724497e-05
63,114.506577083,1.00009234623,1.1999,1.62735,5.85581810979e+40,9.68836902179e-05
64,115.906075909,1.00009374573,1.1999,1.62735,5.9430366244e+40,9.83265019289e-05
65,117.305574735,1.00009514524,1.1999,1.62735,6.03025513902e+40,9.97693075826e-05
66,118.70507356,1.00009654475,1.1999,1.62735,6.11747365363e+40,0.000101212107179
67,120.104572386,1.00009794425,1.1999,1.62735,6.20469216825e+40,0.000102654900718
68,121.504071212,1.00009934376,1.1998,1.54759,6.29191068286e+40,0.000104097688201
69,122.80198196,1.00010064166,1.1998,1.54759,6.37078984549e+40,0.000105402514016
70,124.099892708,1.00010193956,1.1998,1.54759,6.44966900812e+40,0.000106707334751
71,125.397803456,1.00010323746,1.1998,1.54759,6.52854817075e+40,0.000108012150406
72,126.695714203,1.00010453536,1.1998,1.54759,6.60742733338e+40,0.000109316960981
73,127.993624951,1.00010583326,1.1998,1.54759,6.68630649601e+40,0.000110621766476
74,129.291535699,1.00010713116,1.1998,1.54759,6.76518565864e+40,0.00011192656689
75,130.589446447,1.00010842905,1.1998,1.54759,6.84406482126e+40,0.000113231362225
76,131.887357195,1.00010972695,1.1998,1.54759,6.92294398389e+40,0.000114536152479
77,133.185267943,1.00011102485,1.1998,1.54759,7.00182314652e+40,0.000115840937654
78,134.483178691,1.00011232275,1.1998,1.47175,7.08070230915e+40,0.000117145717748
79,135.686861404,1.00011352642,1.1998,1.47175,7.15203963552e+40,0.000118325734842
80,136.890544117,1.0001147301,1.1998,1.47175,7.2233769619e+40,0.000119505747675
81,138.09422683,1.00011593377,1.1998,1.47175,7.29471428827e+40,0.000120685756248
82,139.297909543,1.00011713744,1.1998,1.47175,7.36605161464e+40,0.00012186576056
